scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V861,pour,abstention,pour,pour,False
VTANR5L16V862,pour,abstention,pour,pour,False
VTANR5L16V863,contre,contre,abstention,contre,False
VTANR5L16V865,,pour,pour,pour,False
VTANR5L16V866,,abstention,contre,contre,False
VTANR5L16V867,pour,pour,,pour,False
VTANR5L16V868,,pour,,,False
VTANR5L16V869,,pour,pour,,False
VTANR5L16V870,,pour,pour,,False
VTANR5L16V871,,pour,abstention,,False
VTANR5L16V872,,pour,pour,,False
VTANR5L16V873,,pour,abstention,,False
VTANR5L16V874,,pour,pour,,False
VTANR5L16V875,,pour,abstention,,False
VTANR5L16V876,,pour,pour,,False
VTANR5L16V877,,contre,contre,contre,False
VTANR5L16V878,,pour,pour,pour,False
VTANR5L16V879,,pour,pour,pour,False
VTANR5L16V880,pour,pour,abstention,contre,False
VTANR5L16V881,pour,pour,pour,contre,False
VTANR5L16V882,,contre,abstention,contre,False
VTANR5L16V883,,pour,pour,pour,False
VTANR5L16V884,,contre,contre,contre,False
VTANR5L16V885,,abstention,pour,pour,False
VTANR5L16V886,,pour,pour,pour,False
VTANR5L16V887,,pour,pour,pour,False
VTANR5L16V888,,contre,abstention,abstention,False
VTANR5L16V890,,pour,,pour,False
VTANR5L16V891,,abstention,pour,abstention,False
VTANR5L16V892,abstention,contre,pour,abstention,False
VTANR5L16V893,contre,contre,pour,contre,False
VTANR5L16V894,contre,abstention,pour,abstention,False
VTANR5L16V895,contre,abstention,pour,abstention,False
VTANR5L16V896,contre,abstention,pour,abstention,False
VTANR5L16V897,contre,contre,pour,abstention,False
VTANR5L16V898,contre,pour,pour,pour,False
VTANR5L16V899,contre,pour,pour,pour,False
VTANR5L16V900,contre,pour,pour,pour,False
VTANR5L16V901,,abstention,,contre,False
VTANR5L16V902,,pour,pour,pour,False
VTANR5L16V903,pour,contre,contre,contre,False
VTANR5L16V904,,contre,contre,contre,False
VTANR5L16V905,pour,contre,contre,contre,False
VTANR5L16V906,abstention,contre,pour,abstention,False
VTANR5L16V907,pour,abstention,pour,pour,False
VTANR5L16V91,pour,abstention,contre,abstention,False
VTANR5L16V923,contre,,contre,contre,False
VTANR5L16V928,pour,,contre,contre,False
VTANR5L16V949,pour,pour,abstention,pour,False
VTANR5L16V950,pour,pour,abstention,pour,False
VTANR5L16V958,,abstention,pour,abstention,False
VTANR5L16V959,abstention,,contre,,False
VTANR5L16V961,,pour,pour,pour,False
VTANR5L16V963,pour,,pour,contre,False
VTANR5L16V966,abstention,contre,contre,abstention,False
VTANR5L16V969,pour,pour,contre,abstention,False
VTANR5L16V970,abstention,abstention,contre,abstention,False
VTANR5L16V977,pour,pour,abstention,pour,False
VTANR5L16V980,abstention,abstention,,,False
VTANR5L16V985,contre,abstention,contre,contre,False
VTANR5L16V988,abstention,contre,pour,contre,False
