acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA793716,PM796491,False,pour,PO800484,2024-05-02,VTANR5L16V3711,pour,Croizier,Laurent,M.,DEM
PA642868,PM796968,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Christophe,Paul,M.,HOR
PA267780,PM834858,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Firmin Le Bodo,Agnès,Mme,HOR
PA794234,PM796791,False,pour,PO800514,2024-05-02,VTANR5L16V3711,pour,Gernigon,François,M.,HOR
PA793174,PM796188,False,pour,PO800502,2024-05-02,VTANR5L16V3711,pour,Monnet,Yannick,M.,GDR-NUPES
PA720696,PM796989,False,pour,PO800532,2024-05-02,VTANR5L16V3711,pour,Descamps,Béatrice,Mme,LIOT
PA795244,PM797379,False,pour,PO800532,2024-05-02,VTANR5L16V3711,pour,Lenormand,Stéphane,M.,LIOT
PA720952,PM797619,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Taché,Aurélien,M.,ECOLO
PA793708,PM796488,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Peytavie,Sébastien,M.,ECOLO
PA794154,PM796743,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Raux,Jean-Claude,M.,ECOLO
PA794778,PM797115,False,pour,PO800526,2024-05-02,VTANR5L16V3711,pour,Regol,Sandra,Mme,ECOLO
PA791812,PM797280,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Chikirou,Sophia,Mme,LFI-NUPES
PA793444,PM796329,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Bompard,Manuel,M.,LFI-NUPES
PA793452,PM796332,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Davi,Hendrik,M.,LFI-NUPES
PA794130,PM796731,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Kerbrat,Andy,M.,LFI-NUPES
PA794138,PM796734,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Amiot,Ségolène,Mme,LFI-NUPES
PA794786,PM797118,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Fernandes,Emmanuel,M.,LFI-NUPES
PA794938,PM797202,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Boumertit,Idir,M.,LFI-NUPES
PA795136,PM797319,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Coulomme,Jean-François,M.,LFI-NUPES
PA795616,PM797589,False,pour,PO800490,2023-10-05,VTANR5L16V2660,pour,Bilongo,Carlos Martens,M.,LFI-NUPES
PA608826,PM797256,False,pour,PO800508,2023-10-05,VTANR5L16V2660,pour,Duby-Muller,Virginie,Mme,LR
PA783457,PM796992,False,pour,PO800508,2023-10-05,VTANR5L16V2660,pour,Habert-Dassault,Victor,M.,LR
PA719024,PM796305,False,pour,PO800484,2023-10-05,VTANR5L16V2660,pour,Blanchet,Christophe,M.,DEM
PA720560,PM797016,False,pour,PO800484,2023-10-05,VTANR5L16V2660,pour,Goulet,Perrine,Mme,DEM
PA721976,PM797622,False,pour,PO800484,2023-10-05,VTANR5L16V2660,pour,Millienne,Bruno,M.,DEM
PA795120,PM797310,False,pour,PO800484,2023-10-05,VTANR5L16V2660,pour,Ferrari,Marina,Mme,DEM
PA340343,PM796275,False,pour,PO800496,2023-10-05,VTANR5L16V2660,pour,Saulignac,Hervé,M.,SOC
PA335054,PM797298,False,pour,PO800496,2023-10-05,VTANR5L16V2660,pour,Karamanli,Marietta,Mme,SOC
PA719528,PM796515,False,pour,PO800514,2023-10-05,VTANR5L16V2660,contre,Portarrieu,Jean-François,M.,HOR
PA721046,PM797769,False,pour,PO800532,2023-10-05,VTANR5L16V2660,pour,Bassire,Nathalie,Mme,LIOT
PA719608,PM796593,False,pour,PO793087,2023-10-05,VTANR5L16V2660,pour,Ménard,Emmanuelle,Mme,NI
PA642847,PM796872,False,pour,PO800508,2024-03-13,VTANR5L16V3485,pour,Bazin,Thibault,M.,LR
PA719608,PM796593,False,pour,PO793087,2024-03-13,VTANR5L16V3485,pour,Ménard,Emmanuelle,Mme,NI
PA608826,PM797256,True,pour,PO800508,2024-06-05,VTANR5L16V4060,contre,Duby-Muller,Virginie,Mme,LR
PA642847,PM796872,False,pour,PO800508,2024-06-05,VTANR5L16V4060,contre,Bazin,Thibault,M.,LR
PA722390,PM797214,True,pour,PO800508,2024-06-05,VTANR5L16V4060,contre,Corneloup,Josiane,Mme,LR
PA346782,PM797691,False,pour,PO800508,2024-06-05,VTANR5L16V4060,contre,Juvin,Philippe,M.,LR
PA721816,PM797571,False,pour,PO800508,2024-04-10,VTANR5L16V3696,pour,Boucard,Ian,M.,LR
PA720630,PM797094,False,pour,PO800508,2024-04-10,VTANR5L16V3696,pour,Minot,Maxime,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-10-27,VTANR5L16V404,pour,Ménard,Emmanuelle,Mme,NI
PA720630,PM797094,False,pour,PO800508,2023-05-15,VTANR5L16V1508,contre,Minot,Maxime,M.,LR
PA1008,PM796623,False,pour,PO800496,2023-05-15,VTANR5L16V1508,pour,David,Alain,M.,SOC
PA342240,PM796707,False,pour,PO800508,2024-03-14,VTANR5L16V3496,contre,Bourgeaux,Jean-Luc,M.,LR
PA1327,PM796632,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Forissier,Nicolas,M.,LR
PA1874,PM796383,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Le Fur,Marc,M.,LR
PA720644,PM797103,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Nury,Jérôme,M.,LR
PA721816,PM797571,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Boucard,Ian,M.,LR
PA346054,PM797679,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Maquet,Emmanuel,M.,LR
PA793094,PM796140,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Ray,Nicolas,M.,LR
PA793476,PM796344,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Dubois,Francis,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-08,VTANR5L16V696,pour,Bony,Jean-Yves,M.,LR
PA605069,PM796179,False,pour,PO800532,2022-12-08,VTANR5L16V696,pour,Bricout,Jean-Louis,M.,LIOT
PA721046,PM797769,False,pour,PO800532,2022-12-08,VTANR5L16V696,pour,Bassire,Nathalie,Mme,LIOT
PA719608,PM796593,False,pour,PO793087,2022-12-08,VTANR5L16V696,pour,Ménard,Emmanuelle,Mme,NI
PA1206,PM797637,False,pour,PO793087,2023-05-10,VTANR5L16V1498,pour,Dupont-Aignan,Nicolas,M.,NI
PA1206,PM797637,False,pour,PO793087,2023-01-12,VTANR5L16V825,pour,Dupont-Aignan,Nicolas,M.,NI
PA267429,PM796722,False,pour,PO800508,2023-07-10,VTANR5L16V2202,pour,Cinieri,Dino,M.,LR
PA721816,PM797571,False,pour,PO800508,2023-07-10,VTANR5L16V2202,pour,Boucard,Ian,M.,LR
