,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V1505,gagné,perdu,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V1506,gagné,perdu,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V1507,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V1508,gagné,pas joué,gagné,pas joué,gagné,pas joué,pas joué,perdu,gagné,perdu,pas joué
VTANR5L16V1509,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V151,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V1510,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1511,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1512,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1513,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1514,gagné,pas joué,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V1515,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1516,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1517,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1518,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1519,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V152,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V1520,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné
VTANR5L16V1521,gagné,pas joué,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1522,gagné,pas joué,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1523,gagné,pas joué,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,perdu,gagné
VTANR5L16V1524,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V1525,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1526,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1527,gagné,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1528,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1529,perdu,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V153,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V1530,gagné,pas joué,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V1531,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V1532,gagné,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V154,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V155,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,pas joué,perdu
VTANR5L16V156,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V157,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V158,gagné,pas joué,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V159,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V16,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V160,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V161,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V162,gagné,pas joué,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,gagné,perdu
VTANR5L16V163,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V164,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,perdu,gagné
VTANR5L16V165,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,perdu,gagné
VTANR5L16V166,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V167,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V168,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V169,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V17,gagné,pas joué,gagné,gagné,perdu,gagné,gagné,perdu,gagné,pas joué,pas joué
VTANR5L16V170,gagné,gagné,gagné,gagné,perdu,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V171,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V172,gagné,perdu,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V173,gagné,pas joué,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V174,perdu,pas joué,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V175,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V176,gagné,pas joué,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V177,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V178,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V179,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V18,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V180,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V181,gagné,perdu,gagné,perdu,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V182,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,gagné,gagné,gagné,pas joué
VTANR5L16V183,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné
VTANR5L16V184,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V185,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V186,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V187,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V188,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V189,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V19,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V190,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V191,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V192,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V193,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V194,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V195,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V196,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V197,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V198,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V199,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V2,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V20,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V200,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V201,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V202,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,pas joué
VTANR5L16V203,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V204,gagné,pas joué,gagné,pas joué,gagné,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V205,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V206,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V207,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,pas joué,pas joué
VTANR5L16V208,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V209,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V21,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V210,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V211,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V212,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V213,gagné,gagné,gagné,pas joué,gagné,perdu,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V214,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V215,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V216,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V217,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V218,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V219,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V22,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V220,gagné,gagné,gagné,gagné,gagné,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V221,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,pas joué,perdu
VTANR5L16V222,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V223,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué
VTANR5L16V224,gagné,pas joué,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V225,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V226,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V227,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu
VTANR5L16V228,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V229,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V23,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,perdu,pas joué
VTANR5L16V230,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V231,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V232,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V233,gagné,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,pas joué
VTANR5L16V234,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V235,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
