,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V287,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V288,gagné,pas joué,gagné,pas joué,gagné,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V289,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V29,gagné,gagné,gagné,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V290,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,gagné,gagné
VTANR5L16V291,gagné,gagné,gagné,gagné,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V292,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V293,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V294,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V295,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V296,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V297,gagné,gagné,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V298,gagné,gagné,gagné,gagné,gagné,gagné,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V299,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V3,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,perdu
VTANR5L16V30,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V300,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,perdu,gagné
VTANR5L16V301,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V302,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V303,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,pas joué
VTANR5L16V304,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V305,gagné,perdu,gagné,pas joué,perdu,perdu,pas joué,perdu,gagné,gagné,perdu
VTANR5L16V306,gagné,perdu,gagné,perdu,perdu,gagné,perdu,perdu,gagné,perdu,perdu
VTANR5L16V307,gagné,gagné,gagné,gagné,perdu,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V308,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V309,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V31,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V310,gagné,pas joué,gagné,pas joué,gagné,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V311,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V312,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,gagné,gagné
VTANR5L16V313,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V314,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V315,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V316,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V317,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V318,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V319,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V32,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V320,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V321,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V322,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V323,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V324,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V325,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V326,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V327,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V328,gagné,perdu,gagné,perdu,gagné,gagné,perdu,perdu,gagné,perdu,perdu
VTANR5L16V329,gagné,gagné,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V33,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué
VTANR5L16V330,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V331,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V332,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V333,perdu,gagné,gagné,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V334,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V335,gagné,perdu,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V336,gagné,perdu,gagné,perdu,pas joué,pas joué,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V337,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V338,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,pas joué,perdu
VTANR5L16V339,gagné,gagné,perdu,pas joué,perdu,perdu,perdu,perdu,gagné,perdu,gagné
VTANR5L16V34,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V340,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,perdu,pas joué
VTANR5L16V341,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V342,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V343,gagné,pas joué,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V344,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V345,gagné,perdu,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V346,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V347,perdu,pas joué,perdu,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V348,gagné,gagné,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V349,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V35,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V350,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V351,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V352,gagné,perdu,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V353,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V354,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné
VTANR5L16V355,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V356,gagné,pas joué,gagné,pas joué,pas joué,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V357,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V358,pas joué,perdu,pas joué,perdu,pas joué,perdu,perdu,perdu,pas joué,perdu,perdu
VTANR5L16V359,pas joué,pas joué,pas joué,perdu,pas joué,pas joué,perdu,perdu,pas joué,pas joué,pas joué
VTANR5L16V36,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné,pas joué,gagné
VTANR5L16V360,pas joué,perdu,pas joué,perdu,pas joué,pas joué,pas joué,pas joué,pas joué,perdu,perdu
VTANR5L16V361,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V362,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V363,gagné,perdu,gagné,perdu,gagné,gagné,perdu,perdu,gagné,perdu,perdu
VTANR5L16V364,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V365,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V366,gagné,pas joué,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V367,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V368,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V369,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V37,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V370,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V371,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V372,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V373,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V374,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V375,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V376,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V377,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V378,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V379,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V38,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V380,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V381,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V382,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V383,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V384,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V385,perdu,pas joué,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V386,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V387,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V388,gagné,pas joué,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V389,gagné,pas joué,gagné,pas joué,gagné,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V39,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V390,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V391,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V392,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V393,gagné,perdu,gagné,perdu,perdu,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V394,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V395,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V396,gagné,perdu,gagné,perdu,perdu,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V397,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V398,gagné,pas joué,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,perdu
VTANR5L16V399,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V4,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné,perdu
VTANR5L16V40,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V400,gagné,pas joué,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V401,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V402,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V403,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V404,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V405,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V406,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V407,gagné,gagné,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V408,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V409,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V41,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V410,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,pas joué,perdu
VTANR5L16V411,gagné,pas joué,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V412,gagné,gagné,gagné,pas joué,gagné,pas joué,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V413,gagné,pas joué,gagné,perdu,perdu,pas joué,perdu,perdu,gagné,perdu,perdu
VTANR5L16V414,gagné,pas joué,pas joué,gagné,gagné,pas joué,gagné,gagné,perdu,gagné,gagné
VTANR5L16V415,gagné,pas joué,gagné,perdu,perdu,pas joué,pas joué,pas joué,gagné,pas joué,pas joué
VTANR5L16V416,gagné,pas joué,gagné,gagné,perdu,pas joué,perdu,perdu,gagné,gagné,gagné
VTANR5L16V417,gagné,pas joué,gagné,gagné,pas joué,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V418,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V419,perdu,perdu,pas joué,perdu,perdu,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V42,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V420,gagné,pas joué,gagné,gagné,gagné,perdu,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V421,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,pas joué,pas joué
VTANR5L16V422,gagné,pas joué,gagné,gagné,gagné,pas joué,pas joué,pas joué,gagné,gagné,pas joué
VTANR5L16V423,gagné,perdu,gagné,perdu,perdu,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V424,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V425,gagné,perdu,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V426,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V427,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V428,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V429,gagné,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V43,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,perdu,perdu
VTANR5L16V430,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V431,gagné,gagné,gagné,gagné,pas joué,perdu,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V432,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V433,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V434,gagné,gagné,gagné,gagné,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V435,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué,gagné,gagné,perdu,perdu
VTANR5L16V436,gagné,perdu,gagné,pas joué,perdu,perdu,pas joué,perdu,gagné,pas joué,perdu
VTANR5L16V437,gagné,perdu,gagné,pas joué,pas joué,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V438,gagné,perdu,gagné,gagné,perdu,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V439,gagné,perdu,gagné,pas joué,perdu,perdu,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V44,gagné,perdu,gagné,perdu,gagné,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V440,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V441,gagné,gagné,perdu,pas joué,perdu,perdu,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V442,gagné,gagné,gagné,gagné,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V443,gagné,perdu,gagné,perdu,pas joué,gagné,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V444,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,pas joué,gagné
VTANR5L16V445,gagné,gagné,gagné,perdu,gagné,gagné,pas joué,pas joué,gagné,pas joué,pas joué
VTANR5L16V446,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,pas joué,gagné
VTANR5L16V447,gagné,gagné,gagné,pas joué,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V448,gagné,pas joué,gagné,pas joué,pas joué,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V449,gagné,perdu,gagné,pas joué,pas joué,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V45,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,pas joué,pas joué
VTANR5L16V450,perdu,perdu,pas joué,perdu,pas joué,pas joué,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V451,perdu,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V452,gagné,pas joué,pas joué,pas joué,pas joué,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V453,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V454,perdu,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V455,gagné,pas joué,pas joué,pas joué,perdu,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V456,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V457,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V458,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V459,perdu,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V46,gagné,gagné,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné,gagné
VTANR5L16V460,gagné,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V461,pas joué,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V462,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V463,gagné,pas joué,pas joué,perdu,perdu,perdu,pas joué,perdu,gagné,gagné,pas joué
VTANR5L16V464,gagné,pas joué,pas joué,gagné,pas joué,pas joué,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V465,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V466,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V467,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V468,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V469,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V47,gagné,perdu,gagné,perdu,gagné,gagné,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V470,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V471,perdu,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V472,gagné,perdu,pas joué,pas joué,perdu,perdu,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V473,gagné,gagné,pas joué,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V474,gagné,pas joué,pas joué,pas joué,pas joué,gagné,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V475,pas joué,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V476,pas joué,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V477,pas joué,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V478,pas joué,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V479,perdu,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V48,gagné,perdu,gagné,perdu,gagné,gagné,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V480,pas joué,gagné,pas joué,gagné,pas joué,pas joué,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V481,gagné,gagné,pas joué,gagné,perdu,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V482,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,gagné,gagné,gagné
VTANR5L16V483,gagné,gagné,pas joué,gagné,gagné,gagné,pas joué,gagné,pas joué,gagné,gagné
VTANR5L16V484,pas joué,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,pas joué,gagné,gagné
VTANR5L16V485,pas joué,pas joué,pas joué,pas joué,pas joué,pas joué,perdu,perdu,pas joué,pas joué,pas joué
VTANR5L16V486,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,perdu,pas joué,perdu,perdu
VTANR5L16V487,gagné,pas joué,gagné,pas joué,perdu,pas joué,pas joué,perdu,gagné,pas joué,gagné
VTANR5L16V488,gagné,pas joué,gagné,gagné,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V489,gagné,pas joué,gagné,gagné,pas joué,gagné,pas joué,perdu,gagné,gagné,gagné
VTANR5L16V49,gagné,pas joué,gagné,perdu,gagné,gagné,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V490,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V491,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,gagné,gagné,perdu,pas joué
VTANR5L16V492,gagné,perdu,gagné,perdu,pas joué,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V493,perdu,gagné,perdu,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,gagné
VTANR5L16V494,pas joué,perdu,pas joué,perdu,pas joué,pas joué,perdu,perdu,pas joué,pas joué,perdu
VTANR5L16V495,gagné,pas joué,gagné,perdu,perdu,gagné,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V496,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,pas joué
VTANR5L16V497,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V498,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V499,gagné,pas joué,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V5,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,gagné,perdu
VTANR5L16V50,gagné,pas joué,gagné,perdu,gagné,gagné,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V500,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V501,gagné,pas joué,gagné,pas joué,gagné,gagné,perdu,perdu,gagné,perdu,pas joué
VTANR5L16V502,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,perdu,perdu
VTANR5L16V503,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V504,gagné,pas joué,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V505,gagné,pas joué,gagné,pas joué,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V506,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V507,gagné,perdu,gagné,pas joué,perdu,gagné,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V508,gagné,perdu,gagné,gagné,perdu,perdu,perdu,perdu,gagné,pas joué,perdu
