uid,nom,demandeur,organe,organeReuniRef,participants,cr
RUANR5L16S2022IDC445603,,,,PO273589,"[{'acteurRef': 'PA793780', 'presence': 'absent'}, {'acteurRef': 'PA720162', 'presence': 'absent'}, {'acteurRef': 'PA795990', 'presence': 'absent'}, {'acteurRef': 'PA721118', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'absent'}, {'acteurRef': 'PA736192', 'presence': 'présent'}, {'acteurRef': 'PA793452', 'presence': 'absent'}, {'acteurRef': 'PA736160', 'presence': 'absent'}, {'acteurRef': 'PA722366', 'presence': 'présent'}, {'acteurRef': 'PA718674', 'presence': 'excusé'}, {'acteurRef': 'PA720560', 'presence': 'absent'}, {'acteurRef': 'PA775232', 'presence': 'absent'}, {'acteurRef': 'PA783457', 'presence': 'présent'}, {'acteurRef': 'PA775234', 'presence': 'absent'}, {'acteurRef': 'PA736223', 'presence': 'absent'}, {'acteurRef': 'PA722070', 'presence': 'présent'}, {'acteurRef': 'PA775238', 'presence': 'excusé'}, {'acteurRef': 'PA736225', 'presence': 'absent'}, {'acteurRef': 'PA736166', 'presence': 'excusé'}, {'acteurRef': 'PA736246', 'presence': 'excusé'}, {'acteurRef': 'PA736186', 'presence': 'excusé'}, {'acteurRef': 'PA774958', 'presence': 'absent'}, {'acteurRef': 'PA1993', 'presence': 'présent'}, {'acteurRef': 'PA793904', 'presence': 'absent'}, {'acteurRef': 'PA703480', 'presence': 'absent'}, {'acteurRef': 'PA429844', 'presence': 'excusé'}, {'acteurRef': 'PA794038', 'presence': 'absent'}, {'acteurRef': 'PA736243', 'presence': 'excusé'}, {'acteurRef': 'PA736200', 'presence': 'absent'}, {'acteurRef': 'PA719528', 'presence': 'excusé'}, {'acteurRef': 'PA736209', 'presence': 'présent'}, {'acteurRef': 'PA304086', 'presence': 'excusé'}, {'acteurRef': 'PA794570', 'presence': 'absent'}, {'acteurRef': 'PA227094', 'presence': 'absent'}, {'acteurRef': 'PA795778', 'presence': 'absent'}, {'acteurRef': 'PA720014', 'presence': 'absent'}]",CRCANR5L16S2022PO273589N147
RUANR5L16S2023IDC448354,,,,PO820615,"[{'acteurRef': 'PA794198', 'presence': 'absent'}, {'acteurRef': 'PA796070', 'presence': 'absent'}, {'acteurRef': 'PA793832', 'presence': 'absent'}, {'acteurRef': 'PA266797', 'presence': 'absent'}, {'acteurRef': 'PA794418', 'presence': 'absent'}, {'acteurRef': 'PA795258', 'presence': 'absent'}, {'acteurRef': 'PA795828', 'presence': 'présent'}, {'acteurRef': 'PA793190', 'presence': 'absent'}, {'acteurRef': 'PA267901', 'presence': 'absent'}, {'acteurRef': 'PA1874', 'presence': 'absent'}, {'acteurRef': 'PA796010', 'presence': 'présent'}, {'acteurRef': 'PA793354', 'presence': 'absent'}, {'acteurRef': 'PA794386', 'presence': 'absent'}, {'acteurRef': 'PA795176', 'presence': 'absent'}, {'acteurRef': 'PA643157', 'presence': 'présent'}, {'acteurRef': 'PA610654', 'presence': 'absent'}, {'acteurRef': 'PA721234', 'presence': 'absent'}, {'acteurRef': 'PA718910', 'presence': 'absent'}, {'acteurRef': 'PA795966', 'presence': 'absent'}, {'acteurRef': 'PA721062', 'presence': 'absent'}, {'acteurRef': 'PA720900', 'presence': 'présent'}, {'acteurRef': 'PA795808', 'presence': 'absent'}, {'acteurRef': 'PA757225', 'presence': 'absent'}, {'acteurRef': 'PA793416', 'presence': 'absent'}, {'acteurRef': 'PA720014', 'presence': 'absent'}, {'acteurRef': 'PA795164', 'presence': 'absent'}, {'acteurRef': 'PA721262', 'presence': 'absent'}, {'acteurRef': 'PA720992', 'presence': 'présent'}, {'acteurRef': 'PA796078', 'presence': 'absent'}]",CRCANR5L16S2023PO820615N016
RUANR5L15A2022IDF0161583,Mme Emmanuelle Anthoine,PA719318,,,,
RUANR5L16S2023IDC445814,,,,PO804556,,
RUANR5L16S2023IDC446443,,,,PO804563,,
RUANR5L16S2023IDC446847,,,,PO805632,,
RUANR5L16S2023IDC446796,,,,PO804570,,
RUANR5L16S2023IDC448109,,,,PO420120,"[{'acteurRef': 'PA605963', 'presence': 'absent'}, {'acteurRef': 'PA796118', 'presence': 'absent'}, {'acteurRef': 'PA642764', 'presence': 'absent'}, {'acteurRef': 'PA642847', 'presence': 'absent'}, {'acteurRef': 'PA794434', 'presence': 'absent'}, {'acteurRef': 'PA721828', 'presence': 'excusé'}, {'acteurRef': 'PA805166', 'presence': 'présent'}, {'acteurRef': 'PA795762', 'presence': 'excusé'}, {'acteurRef': 'PA794638', 'presence': 'présent'}, {'acteurRef': 'PA642868', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'absent'}, {'acteurRef': 'PA719286', 'presence': 'absent'}, {'acteurRef': 'PA722390', 'presence': 'absent'}, {'acteurRef': 'PA793876', 'presence': 'absent'}, {'acteurRef': 'PA793394', 'presence': 'absent'}, {'acteurRef': 'PA793464', 'presence': 'absent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA794762', 'presence': 'présent'}, {'acteurRef': 'PA720154', 'presence': 'présent'}, {'acteurRef': 'PA795844', 'presence': 'absent'}, {'acteurRef': 'PA605694', 'presence': 'présent'}, {'acteurRef': 'PA795884', 'presence': 'absent'}, {'acteurRef': 'PA720286', 'presence': 'excusé'}, {'acteurRef': 'PA794678', 'presence': 'présent'}, {'acteurRef': 'PA795010', 'presence': 'absent'}, {'acteurRef': 'PA794234', 'presence': 'présent'}, {'acteurRef': 'PA267318', 'presence': 'présent'}, {'acteurRef': 'PA794058', 'presence': 'présent'}, {'acteurRef': 'PA1567', 'presence': 'présent'}, {'acteurRef': 'PA795934', 'presence': 'présent'}, {'acteurRef': 'PA794004', 'presence': 'absent'}, {'acteurRef': 'PA331835', 'presence': 'absent'}, {'acteurRef': 'PA722374', 'presence': 'présent'}, {'acteurRef': 'PA720074', 'presence': 'excusé'}, {'acteurRef': 'PA720038', 'presence': 'absent'}, {'acteurRef': 'PA346782', 'presence': 'absent'}, {'acteurRef': 'PA795438', 'presence': 'absent'}, {'acteurRef': 'PA719186', 'presence': 'présent'}, {'acteurRef': 'PA795912', 'presence': 'absent'}, {'acteurRef': 'PA719404', 'presence': 'présent'}, {'acteurRef': 'PA719756', 'presence': 'absent'}, {'acteurRef': 'PA795108', 'presence': 'absent'}, {'acteurRef': 'PA793608', 'presence': 'excusé'}, {'acteurRef': 'PA794530', 'presence': 'absent'}, {'acteurRef': 'PA719154', 'presence': 'présent'}, {'acteurRef': 'PA793354', 'presence': 'présent'}, {'acteurRef': 'PA793174', 'presence': 'absent'}, {'acteurRef': 'PA793696', 'presence': 'présent'}, {'acteurRef': 'PA794038', 'presence': 'absent'}, {'acteurRef': 'PA610654', 'presence': 'excusé'}, {'acteurRef': 'PA795050', 'presence': 'absent'}, {'acteurRef': 'PA720480', 'presence': 'absent'}, {'acteurRef': 'PA721234', 'presence': 'absent'}, {'acteurRef': 'PA721710', 'presence': 'absent'}, {'acteurRef': 'PA793708', 'presence': 'absent'}, {'acteurRef': 'PA721062', 'presence': 'excusé'}, {'acteurRef': 'PA720066', 'presence': 'présent'}, {'acteurRef': 'PA795076', 'presence': 'absent'}, {'acteurRef': 'PA793270', 'presence': 'présent'}, {'acteurRef': 'PA722142', 'presence': 'absent'}, {'acteurRef': 'PA793416', 'presence': 'absent'}, {'acteurRef': 'PA720960', 'presence': 'excusé'}, {'acteurRef': 'PA793382', 'presence': 'absent'}, {'acteurRef': 'PA795920', 'presence': 'absent'}, {'acteurRef': 'PA722162', 'presence': 'absent'}, {'acteurRef': 'PA643134', 'presence': 'absent'}, {'acteurRef': 'PA795350', 'presence': 'absent'}, {'acteurRef': 'PA722102', 'presence': 'présent'}, {'acteurRef': 'PA331582', 'presence': 'présent'}, {'acteurRef': 'PA794914', 'presence': 'absent'}, {'acteurRef': 'PA721474', 'presence': 'absent'}]",CRCANR5L16S2023PO420120N081
RUANR5L16S2023IDC446885,,,,PO805639,,
RUANR5L16S2023IDC447763,,,,PO420120,,
RUANR5L15A2022IDF0161394,M. Jean-François Rousset,PA793270,,,,
RUANR5L16S2023IDC446032,,,,PO744127,"[{'acteurRef': 'PA794906', 'presence': 'absent'}, {'acteurRef': 'PA721522', 'presence': 'absent'}, {'acteurRef': 'PA794886', 'presence': 'absent'}, {'acteurRef': 'PA330008', 'presence': 'présent'}, {'acteurRef': 'PA721336', 'presence': 'absent'}, {'acteurRef': 'PA721328', 'presence': 'absent'}, {'acteurRef': 'PA793940', 'presence': 'présent'}, {'acteurRef': 'PA718850', 'presence': 'absent'}, {'acteurRef': 'PA793680', 'presence': 'absent'}, {'acteurRef': 'PA795430', 'presence': 'absent'}, {'acteurRef': 'PA793166', 'presence': 'absent'}, {'acteurRef': 'PA793928', 'presence': 'présent'}, {'acteurRef': 'PA643175', 'presence': 'présent'}, {'acteurRef': 'PA793832', 'presence': 'absent'}, {'acteurRef': 'PA722202', 'presence': 'absent'}, {'acteurRef': 'PA794130', 'presence': 'absent'}, {'acteurRef': 'PA719404', 'presence': 'excusé'}, {'acteurRef': 'PA795974', 'presence': 'absent'}, {'acteurRef': 'PA795216', 'presence': 'absent'}, {'acteurRef': 'PA794114', 'presence': 'absent'}, {'acteurRef': 'PA793852', 'presence': 'absent'}, {'acteurRef': 'PA721976', 'presence': 'absent'}, {'acteurRef': 'PA607619', 'presence': 'présent'}, {'acteurRef': 'PA793756', 'presence': 'absent'}, {'acteurRef': 'PA608172', 'presence': 'présent'}, {'acteurRef': 'PA795270', 'presence': 'absent'}, {'acteurRef': 'PA794154', 'presence': 'présent'}, {'acteurRef': 'PA721678', 'presence': 'absent'}, {'acteurRef': 'PA340643', 'presence': 'présent'}, {'acteurRef': 'PA721314', 'presence': 'absent'}, {'acteurRef': 'PA720190', 'presence': 'présent'}, {'acteurRef': 'PA718860', 'presence': 'absent'}, {'acteurRef': 'PA607395', 'presence': 'excusé'}, {'acteurRef': 'PA721482', 'presence': 'présent'}, {'acteurRef': 'PA795350', 'presence': 'absent'}, {'acteurRef': 'PA794914', 'presence': 'absent'}]",CRCANR5L16S2023PO744127N008
RUANR5L15A2022IDF0162126,Mme Sandra Regol,PA794778,,,,
RUANR5L16S2023IDC447890,,,,PO815577,,
RUANR5L15A2022IDF0162005,M. Guillaume Garot,PA333285,,,,
RUANR5L16S2023IDC448972,,,,PO807056,,
RUANR5L15A2022IDF0162115,M. Manuel Bompard,PA793444,,,,
RUANR5L16S2023IDC446818,,,,PO420120,"[{'acteurRef': 'PA605963', 'presence': 'présent'}, {'acteurRef': 'PA795588', 'presence': 'présent'}, {'acteurRef': 'PA796118', 'presence': 'présent'}, {'acteurRef': 'PA642764', 'presence': 'absent'}, {'acteurRef': 'PA642847', 'presence': 'présent'}, {'acteurRef': 'PA794434', 'presence': 'absent'}, {'acteurRef': 'PA721828', 'presence': 'présent'}, {'acteurRef': 'PA805166', 'presence': 'absent'}, {'acteurRef': 'PA721816', 'presence': 'présent'}, {'acteurRef': 'PA795762', 'presence': 'présent'}, {'acteurRef': 'PA794638', 'presence': 'présent'}, {'acteurRef': 'PA642868', 'presence': 'absent'}, {'acteurRef': 'PA267429', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'présent'}, {'acteurRef': 'PA719286', 'presence': 'absent'}, {'acteurRef': 'PA722390', 'presence': 'présent'}, {'acteurRef': 'PA793876', 'presence': 'absent'}, {'acteurRef': 'PA793394', 'presence': 'présent'}, {'acteurRef': 'PA793464', 'presence': 'présent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA794762', 'presence': 'présent'}, {'acteurRef': 'PA720154', 'presence': 'présent'}, {'acteurRef': 'PA795844', 'presence': 'présent'}, {'acteurRef': 'PA605694', 'presence': 'présent'}, {'acteurRef': 'PA795884', 'presence': 'présent'}, {'acteurRef': 'PA720286', 'presence': 'excusé'}, {'acteurRef': 'PA794678', 'presence': 'présent'}, {'acteurRef': 'PA795010', 'presence': 'présent'}, {'acteurRef': 'PA794234', 'presence': 'présent'}, {'acteurRef': 'PA267318', 'presence': 'présent'}, {'acteurRef': 'PA794058', 'presence': 'présent'}, {'acteurRef': 'PA1567', 'presence': 'présent'}, {'acteurRef': 'PA795934', 'presence': 'présent'}, {'acteurRef': 'PA794004', 'presence': 'présent'}, {'acteurRef': 'PA331835', 'presence': 'présent'}, {'acteurRef': 'PA722374', 'presence': 'présent'}, {'acteurRef': 'PA720074', 'presence': 'présent'}, {'acteurRef': 'PA720038', 'presence': 'présent'}, {'acteurRef': 'PA346782', 'presence': 'absent'}, {'acteurRef': 'PA795438', 'presence': 'présent'}, {'acteurRef': 'PA719186', 'presence': 'présent'}, {'acteurRef': 'PA795912', 'presence': 'présent'}, {'acteurRef': 'PA719404', 'presence': 'présent'}, {'acteurRef': 'PA719756', 'presence': 'présent'}, {'acteurRef': 'PA795746', 'presence': 'présent'}, {'acteurRef': 'PA793608', 'presence': 'absent'}, {'acteurRef': 'PA794530', 'presence': 'présent'}, {'acteurRef': 'PA719154', 'presence': 'présent'}, {'acteurRef': 'PA793354', 'presence': 'présent'}, {'acteurRef': 'PA793174', 'presence': 'présent'}, {'acteurRef': 'PA793696', 'presence': 'présent'}, {'acteurRef': 'PA794038', 'presence': 'présent'}, {'acteurRef': 'PA610654', 'presence': 'excusé'}, {'acteurRef': 'PA795050', 'presence': 'absent'}, {'acteurRef': 'PA720480', 'presence': 'absent'}, {'acteurRef': 'PA721234', 'presence': 'absent'}, {'acteurRef': 'PA721710', 'presence': 'présent'}, {'acteurRef': 'PA793708', 'presence': 'présent'}, {'acteurRef': 'PA721062', 'presence': 'excusé'}, {'acteurRef': 'PA720066', 'presence': 'excusé'}, {'acteurRef': 'PA795076', 'presence': 'présent'}, {'acteurRef': 'PA793270', 'presence': 'absent'}, {'acteurRef': 'PA722142', 'presence': 'absent'}, {'acteurRef': 'PA793416', 'presence': 'présent'}, {'acteurRef': 'PA720960', 'presence': 'excusé'}, {'acteurRef': 'PA793382', 'presence': 'présent'}, {'acteurRef': 'PA795920', 'presence': 'présent'}, {'acteurRef': 'PA722162', 'presence': 'absent'}, {'acteurRef': 'PA643134', 'presence': 'excusé'}, {'acteurRef': 'PA795350', 'presence': 'absent'}, {'acteurRef': 'PA722102', 'presence': 'présent'}, {'acteurRef': 'PA331582', 'presence': 'présent'}, {'acteurRef': 'PA794914', 'presence': 'présent'}, {'acteurRef': 'PA721474', 'presence': 'excusé'}]",CRCANR5L16S2023PO420120N052
RUANR5L15A2022IDF0162076,Mme Danièle Obono,PA721960,,,,
RUANR5L16S2023IDC448671,,,,PO419865,"[{'acteurRef': 'PA719146', 'presence': 'présent'}, {'acteurRef': 'PA793992', 'presence': 'absent'}, {'acteurRef': 'PA794906', 'presence': 'absent'}, {'acteurRef': 'PA793238', 'presence': 'excusé'}, {'acteurRef': 'PA721046', 'presence': 'présent'}, {'acteurRef': 'PA335999', 'presence': 'absent'}, {'acteurRef': 'PA793158', 'presence': 'présent'}, {'acteurRef': 'PA720362', 'presence': 'présent'}, {'acteurRef': 'PA795362', 'presence': 'présent'}, {'acteurRef': 'PA720668', 'presence': 'absent'}, {'acteurRef': 'PA266793', 'presence': 'présent'}, {'acteurRef': 'PA793182', 'presence': 'absent'}, {'acteurRef': 'PA718710', 'presence': 'présent'}, {'acteurRef': 'PA267766', 'presence': 'présent'}, {'acteurRef': 'PA605069', 'presence': 'absent'}, {'acteurRef': 'PA794330', 'presence': 'présent'}, {'acteurRef': 'PA719890', 'presence': 'présent'}, {'acteurRef': 'PA722000', 'presence': 'présent'}, {'acteurRef': 'PA796090', 'presence': 'absent'}, {'acteurRef': 'PA793912', 'presence': 'présent'}, {'acteurRef': 'PA795868', 'presence': 'excusé'}, {'acteurRef': 'PA719922', 'presence': 'présent'}, {'acteurRef': 'PA795864', 'presence': 'présent'}, {'acteurRef': 'PA793520', 'presence': 'présent'}, {'acteurRef': 'PA942', 'presence': 'présent'}, {'acteurRef': 'PA794222', 'presence': 'présent'}, {'acteurRef': 'PA793680', 'presence': 'présent'}, {'acteurRef': 'PA795644', 'presence': 'absent'}, {'acteurRef': 'PA794510', 'presence': 'présent'}, {'acteurRef': 'PA795430', 'presence': 'présent'}, {'acteurRef': 'PA330909', 'presence': 'présent'}, {'acteurRef': 'PA793146', 'presence': 'absent'}, {'acteurRef': 'PA793476', 'presence': 'présent'}, {'acteurRef': 'PA794718', 'presence': 'présent'}, {'acteurRef': 'PA793792', 'presence': 'présent'}, {'acteurRef': 'PA794870', 'presence': 'absent'}, {'acteurRef': 'PA795540', 'presence': 'présent'}, {'acteurRef': 'PA795310', 'presence': 'absent'}, {'acteurRef': 'PA720054', 'presence': 'présent'}, {'acteurRef': 'PA643192', 'presence': 'présent'}, {'acteurRef': 'PA720764', 'presence': 'présent'}, {'acteurRef': 'PA719412', 'presence': 'présent'}, {'acteurRef': 'PA774958', 'presence': 'absent'}, {'acteurRef': 'PA795216', 'presence': 'présent'}, {'acteurRef': 'PA721530', 'presence': 'présent'}, {'acteurRef': 'PA719718', 'presence': 'présent'}, {'acteurRef': 'PA346054', 'presence': 'présent'}, {'acteurRef': 'PA795692', 'presence': 'présent'}, {'acteurRef': 'PA793314', 'presence': 'présent'}, {'acteurRef': 'PA795482', 'presence': 'présent'}, {'acteurRef': 'PA793852', 'presence': 'présent'}, {'acteurRef': 'PA719882', 'presence': 'présent'}, {'acteurRef': 'PA817203', 'presence': 'présent'}, {'acteurRef': 'PA795820', 'presence': 'excusé'}, {'acteurRef': 'PA794830', 'presence': 'présent'}, {'acteurRef': 'PA720334', 'presence': 'présent'}, {'acteurRef': 'PA719632', 'presence': 'absent'}, {'acteurRef': 'PA721442', 'presence': 'excusé'}, {'acteurRef': 'PA344201', 'presence': 'présent'}, {'acteurRef': 'PA718910', 'presence': 'présent'}, {'acteurRef': 'PA793664', 'presence': 'absent'}, {'acteurRef': 'PA719578', 'presence': 'présent'}, {'acteurRef': 'PA793094', 'presence': 'présent'}, {'acteurRef': 'PA794626', 'presence': 'absent'}, {'acteurRef': 'PA720190', 'presence': 'présent'}, {'acteurRef': 'PA794486', 'presence': 'absent'}, {'acteurRef': 'PA793744', 'presence': 'absent'}, {'acteurRef': 'PA794178', 'presence': 'présent'}, {'acteurRef': 'PA793796', 'presence': 'présent'}, {'acteurRef': 'PA722336', 'presence': 'présent'}, {'acteurRef': 'PA720014', 'presence': 'présent'}, {'acteurRef': 'PA721482', 'presence': 'présent'}, {'acteurRef': 'PA720586', 'presence': 'présent'}, {'acteurRef': 'PA794118', 'presence': 'présent'}, {'acteurRef': 'PA607090', 'presence': 'présent'}, {'acteurRef': 'PA719512', 'presence': 'présent'}, {'acteurRef': 'PA794946', 'presence': 'absent'}, {'acteurRef': 'PA795026', 'presence': 'présent'}, {'acteurRef': 'PA722110', 'presence': 'absent'}, {'acteurRef': 'PA718962', 'presence': 'présent'}]",
RUANR5L16S2023IDC448957,,,,PO419610,,
RUANR5L16S2023IDC447572,,,,PO420120,"[{'acteurRef': 'PA605963', 'presence': 'présent'}, {'acteurRef': 'PA796118', 'presence': 'absent'}, {'acteurRef': 'PA642764', 'presence': 'absent'}, {'acteurRef': 'PA642847', 'presence': 'excusé'}, {'acteurRef': 'PA794434', 'presence': 'absent'}, {'acteurRef': 'PA721828', 'presence': 'absent'}, {'acteurRef': 'PA805166', 'presence': 'absent'}, {'acteurRef': 'PA794522', 'presence': 'présent'}, {'acteurRef': 'PA342240', 'presence': 'absent'}, {'acteurRef': 'PA795762', 'presence': 'présent'}, {'acteurRef': 'PA794638', 'presence': 'présent'}, {'acteurRef': 'PA642868', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'absent'}, {'acteurRef': 'PA719286', 'presence': 'absent'}, {'acteurRef': 'PA722390', 'presence': 'absent'}, {'acteurRef': 'PA793876', 'presence': 'absent'}, {'acteurRef': 'PA793464', 'presence': 'absent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA794762', 'presence': 'absent'}, {'acteurRef': 'PA720154', 'presence': 'présent'}, {'acteurRef': 'PA795844', 'presence': 'absent'}, {'acteurRef': 'PA605694', 'presence': 'absent'}, {'acteurRef': 'PA795884', 'presence': 'absent'}, {'acteurRef': 'PA720286', 'presence': 'excusé'}, {'acteurRef': 'PA794678', 'presence': 'absent'}, {'acteurRef': 'PA795010', 'presence': 'présent'}, {'acteurRef': 'PA794234', 'presence': 'absent'}, {'acteurRef': 'PA267318', 'presence': 'absent'}, {'acteurRef': 'PA794058', 'presence': 'absent'}, {'acteurRef': 'PA795934', 'presence': 'présent'}, {'acteurRef': 'PA794004', 'presence': 'absent'}, {'acteurRef': 'PA331835', 'presence': 'absent'}, {'acteurRef': 'PA722374', 'presence': 'présent'}, {'acteurRef': 'PA720074', 'presence': 'excusé'}, {'acteurRef': 'PA720038', 'presence': 'absent'}, {'acteurRef': 'PA722202', 'presence': 'absent'}, {'acteurRef': 'PA795438', 'presence': 'absent'}, {'acteurRef': 'PA719186', 'presence': 'présent'}, {'acteurRef': 'PA795912', 'presence': 'absent'}, {'acteurRef': 'PA719404', 'presence': 'présent'}, {'acteurRef': 'PA719756', 'presence': 'absent'}, {'acteurRef': 'PA795108', 'presence': 'absent'}, {'acteurRef': 'PA793608', 'presence': 'absent'}, {'acteurRef': 'PA794530', 'presence': 'absent'}, {'acteurRef': 'PA719154', 'presence': 'absent'}, {'acteurRef': 'PA793354', 'presence': 'absent'}, {'acteurRef': 'PA793174', 'presence': 'présent'}, {'acteurRef': 'PA793696', 'presence': 'absent'}, {'acteurRef': 'PA643157', 'presence': 'absent'}, {'acteurRef': 'PA794038', 'presence': 'absent'}, {'acteurRef': 'PA610654', 'presence': 'excusé'}, {'acteurRef': 'PA720334', 'presence': 'absent'}, {'acteurRef': 'PA795050', 'presence': 'absent'}, {'acteurRef': 'PA720480', 'presence': 'absent'}, {'acteurRef': 'PA721234', 'presence': 'absent'}, {'acteurRef': 'PA721710', 'presence': 'absent'}, {'acteurRef': 'PA793708', 'presence': 'présent'}, {'acteurRef': 'PA721062', 'presence': 'excusé'}, {'acteurRef': 'PA720066', 'presence': 'excusé'}, {'acteurRef': 'PA342196', 'presence': 'absent'}, {'acteurRef': 'PA793270', 'presence': 'présent'}, {'acteurRef': 'PA722142', 'presence': 'absent'}, {'acteurRef': 'PA793416', 'presence': 'présent'}, {'acteurRef': 'PA720960', 'presence': 'excusé'}, {'acteurRef': 'PA793382', 'presence': 'absent'}, {'acteurRef': 'PA736201', 'presence': 'excusé'}, {'acteurRef': 'PA795920', 'presence': 'présent'}, {'acteurRef': 'PA722162', 'presence': 'absent'}, {'acteurRef': 'PA643134', 'presence': 'absent'}, {'acteurRef': 'PA795350', 'presence': 'présent'}, {'acteurRef': 'PA722102', 'presence': 'absent'}, {'acteurRef': 'PA794914', 'presence': 'absent'}, {'acteurRef': 'PA721474', 'presence': 'absent'}]",CRCANR5L16S2023PO420120N064
RUANR5L16S2023IDC446871,,,,PO805570,,
RUANR5L15A2022IDF0161380,Mme Prisca Thevenot,PA795920,,,,
RUANR5L16S2023IDC447757,,,,PO804904,,
RUANR5L16S2023IDC448812,,,,PO59048,,
RUANR5L16S2023IDC447935,,,,PO420120,,
RUANR5L16S2023IDC447643,,,,PO804904,,
RUANR5L16S2022IDC445476,,,,PO419865,"[{'acteurRef': 'PA722038', 'presence': 'présent'}, {'acteurRef': 'PA793992', 'presence': 'absent'}, {'acteurRef': 'PA794906', 'presence': 'excusé'}, {'acteurRef': 'PA795144', 'presence': 'présent'}, {'acteurRef': 'PA793238', 'presence': 'absent'}, {'acteurRef': 'PA721046', 'presence': 'excusé'}, {'acteurRef': 'PA795362', 'presence': 'présent'}, {'acteurRef': 'PA720668', 'presence': 'absent'}, {'acteurRef': 'PA266793', 'presence': 'présent'}, {'acteurRef': 'PA793182', 'presence': 'absent'}, {'acteurRef': 'PA718710', 'presence': 'absent'}, {'acteurRef': 'PA267766', 'presence': 'excusé'}, {'acteurRef': 'PA605069', 'presence': 'présent'}, {'acteurRef': 'PA794330', 'presence': 'présent'}, {'acteurRef': 'PA719890', 'presence': 'présent'}, {'acteurRef': 'PA722000', 'presence': 'présent'}, {'acteurRef': 'PA796090', 'presence': 'présent'}, {'acteurRef': 'PA793912', 'presence': 'présent'}, {'acteurRef': 'PA795868', 'presence': 'excusé'}, {'acteurRef': 'PA719922', 'presence': 'présent'}, {'acteurRef': 'PA795864', 'presence': 'présent'}, {'acteurRef': 'PA793520', 'presence': 'présent'}, {'acteurRef': 'PA794222', 'presence': 'présent'}, {'acteurRef': 'PA793680', 'presence': 'présent'}, {'acteurRef': 'PA795644', 'presence': 'excusé'}, {'acteurRef': 'PA794510', 'presence': 'présent'}, {'acteurRef': 'PA795430', 'presence': 'excusé'}, {'acteurRef': 'PA330909', 'presence': 'présent'}, {'acteurRef': 'PA793146', 'presence': 'excusé'}, {'acteurRef': 'PA794870', 'presence': 'présent'}, {'acteurRef': 'PA722366', 'presence': 'absent'}, {'acteurRef': 'PA795310', 'presence': 'excusé'}, {'acteurRef': 'PA720174', 'presence': 'présent'}, {'acteurRef': 'PA643192', 'presence': 'excusé'}, {'acteurRef': 'PA720764', 'presence': 'absent'}, {'acteurRef': 'PA719412', 'presence': 'présent'}, {'acteurRef': 'PA774958', 'presence': 'excusé'}, {'acteurRef': 'PA795216', 'presence': 'absent'}, {'acteurRef': 'PA721530', 'presence': 'absent'}, {'acteurRef': 'PA719718', 'presence': 'excusé'}, {'acteurRef': 'PA346054', 'presence': 'absent'}, {'acteurRef': 'PA793314', 'presence': 'présent'}, {'acteurRef': 'PA795482', 'presence': 'présent'}, {'acteurRef': 'PA793852', 'presence': 'présent'}, {'acteurRef': 'PA719882', 'presence': 'présent'}, {'acteurRef': 'PA795820', 'presence': 'excusé'}, {'acteurRef': 'PA794830', 'presence': 'présent'}, {'acteurRef': 'PA720334', 'presence': 'présent'}, {'acteurRef': 'PA719632', 'presence': 'présent'}, {'acteurRef': 'PA794314', 'presence': 'absent'}, {'acteurRef': 'PA721442', 'presence': 'excusé'}, {'acteurRef': 'PA344201', 'presence': 'excusé'}, {'acteurRef': 'PA718910', 'presence': 'excusé'}, {'acteurRef': 'PA793664', 'presence': 'absent'}, {'acteurRef': 'PA719578', 'presence': 'présent'}, {'acteurRef': 'PA720092', 'presence': 'excusé'}, {'acteurRef': 'PA793094', 'presence': 'présent'}, {'acteurRef': 'PA794626', 'presence': 'présent'}, {'acteurRef': 'PA793744', 'presence': 'excusé'}, {'acteurRef': 'PA793382', 'presence': 'présent'}, {'acteurRef': 'PA794178', 'presence': 'absent'}, {'acteurRef': 'PA793796', 'presence': 'présent'}, {'acteurRef': 'PA722336', 'presence': 'présent'}, {'acteurRef': 'PA793948', 'presence': 'présent'}, {'acteurRef': 'PA720014', 'presence': 'absent'}, {'acteurRef': 'PA721482', 'presence': 'présent'}, {'acteurRef': 'PA720586', 'presence': 'absent'}, {'acteurRef': 'PA794118', 'presence': 'présent'}, {'acteurRef': 'PA794946', 'presence': 'absent'}, {'acteurRef': 'PA795026', 'presence': 'présent'}, {'acteurRef': 'PA722110', 'presence': 'présent'}, {'acteurRef': 'PA718962', 'presence': 'présent'}]",CRCANR5L16S2022PO419865N007
RUANR5L16S2023IDC448637,,,,PO821566,,
