uid,nom,demandeur,organe,organeReuniRef,participants,cr
RUANR5L16S2023IDC446672,,,,PO59048,"[{'acteurRef': 'PA605963', 'presence': 'présent'}, {'acteurRef': 'PA793432', 'presence': 'excusé'}, {'acteurRef': 'PA795950', 'presence': 'présent'}, {'acteurRef': 'PA793780', 'presence': 'absent'}, {'acteurRef': 'PA643143', 'presence': 'présent'}, {'acteurRef': 'PA642847', 'presence': 'présent'}, {'acteurRef': 'PA795454', 'presence': 'excusé'}, {'acteurRef': 'PA721828', 'presence': 'présent'}, {'acteurRef': 'PA805166', 'presence': 'présent'}, {'acteurRef': 'PA793444', 'presence': 'excusé'}, {'acteurRef': 'PA721410', 'presence': 'présent'}, {'acteurRef': 'PA794094', 'presence': 'présent'}, {'acteurRef': 'PA718838', 'presence': 'absent'}, {'acteurRef': 'PA793624', 'presence': 'absent'}, {'acteurRef': 'PA795836', 'presence': 'présent'}, {'acteurRef': 'PA795762', 'presence': 'présent'}, {'acteurRef': 'PA795330', 'presence': 'présent'}, {'acteurRef': 'PA719138', 'presence': 'absent'}, {'acteurRef': 'PA794638', 'presence': 'présent'}, {'acteurRef': 'PA719472', 'presence': 'présent'}, {'acteurRef': 'PA795580', 'presence': 'absent'}, {'acteurRef': 'PA642868', 'presence': 'présent'}, {'acteurRef': 'PA793736', 'presence': 'présent'}, {'acteurRef': 'PA721202', 'presence': 'présent'}, {'acteurRef': 'PA942', 'presence': 'présent'}, {'acteurRef': 'PA793876', 'presence': 'présent'}, {'acteurRef': 'PA720932', 'presence': 'absent'}, {'acteurRef': 'PA332523', 'presence': 'absent'}, {'acteurRef': 'PA793166', 'presence': 'absent'}, {'acteurRef': 'PA718926', 'presence': 'présent'}, {'acteurRef': 'PA720386', 'presence': 'absent'}, {'acteurRef': 'PA722382', 'presence': 'absent'}, {'acteurRef': 'PA720154', 'presence': 'présent'}, {'acteurRef': 'PA795200', 'presence': 'présent'}, {'acteurRef': 'PA643175', 'presence': 'présent'}, {'acteurRef': 'PA607193', 'presence': 'excusé'}, {'acteurRef': 'PA795884', 'presence': 'présent'}, {'acteurRef': 'PA795120', 'presence': 'présent'}, {'acteurRef': 'PA720006', 'presence': 'absent'}, {'acteurRef': 'PA794470', 'presence': 'présent'}, {'acteurRef': 'PA267336', 'presence': 'présent'}, {'acteurRef': 'PA720560', 'presence': 'absent'}, {'acteurRef': 'PA794478', 'presence': 'absent'}, {'acteurRef': 'PA783457', 'presence': 'absent'}, {'acteurRef': 'PA722054', 'presence': 'absent'}, {'acteurRef': 'PA608416', 'presence': 'absent'}, {'acteurRef': 'PA721150', 'presence': 'présent'}, {'acteurRef': 'PA722374', 'presence': 'présent'}, {'acteurRef': 'PA720074', 'presence': 'présent'}, {'acteurRef': 'PA719778', 'presence': 'absent'}, {'acteurRef': 'PA719186', 'presence': 'présent'}, {'acteurRef': 'PA719798', 'presence': 'absent'}, {'acteurRef': 'PA794450', 'presence': 'présent'}, {'acteurRef': 'PA718978', 'presence': 'présent'}, {'acteurRef': 'PA720022', 'presence': 'présent'}, {'acteurRef': 'PA795912', 'presence': 'présent'}, {'acteurRef': 'PA1874', 'presence': 'absent'}, {'acteurRef': 'PA345722', 'presence': 'absent'}, {'acteurRef': 'PA774962', 'presence': 'présent'}, {'acteurRef': 'PA795374', 'presence': 'présent'}, {'acteurRef': 'PA794402', 'presence': 'absent'}, {'acteurRef': 'PA795386', 'presence': 'présent'}, {'acteurRef': 'PA721632', 'presence': 'absent'}, {'acteurRef': 'PA795974', 'presence': 'absent'}, {'acteurRef': 'PA608016', 'presence': 'présent'}, {'acteurRef': 'PA720230', 'presence': 'présent'}, {'acteurRef': 'PA717379', 'presence': 'présent'}, {'acteurRef': 'PA794530', 'presence': 'présent'}, {'acteurRef': 'PA794974', 'presence': 'présent'}, {'acteurRef': 'PA793330', 'presence': 'absent'}, {'acteurRef': 'PA720728', 'presence': 'présent'}, {'acteurRef': 'PA795422', 'presence': 'absent'}, {'acteurRef': 'PA793616', 'presence': 'présent'}, {'acteurRef': 'PA794686', 'presence': 'absent'}, {'acteurRef': 'PA794878', 'presence': 'présent'}, {'acteurRef': 'PA793696', 'presence': 'présent'}, {'acteurRef': 'PA794038', 'presence': 'présent'}, {'acteurRef': 'PA794314', 'presence': 'absent'}, {'acteurRef': 'PA721710', 'presence': 'présent'}, {'acteurRef': 'PA793708', 'presence': 'présent'}, {'acteurRef': 'PA608172', 'presence': 'présent'}, {'acteurRef': 'PA793572', 'presence': 'absent'}, {'acteurRef': 'PA722398', 'presence': 'absent'}, {'acteurRef': 'PA721678', 'presence': 'présent'}, {'acteurRef': 'PA720066', 'presence': 'présent'}, {'acteurRef': 'PA793884', 'presence': 'absent'}, {'acteurRef': 'PA721458', 'presence': 'présent'}, {'acteurRef': 'PA794570', 'presence': 'présent'}, {'acteurRef': 'PA793724', 'presence': 'excusé'}, {'acteurRef': 'PA794954', 'presence': 'absent'}, {'acteurRef': 'PA605745', 'presence': 'présent'}, {'acteurRef': 'PA610002', 'presence': 'absent'}, {'acteurRef': 'PA796050', 'presence': 'excusé'}, {'acteurRef': 'PA793416', 'presence': 'présent'}, {'acteurRef': 'PA794802', 'presence': 'excusé'}, {'acteurRef': 'PA795778', 'presence': 'absent'}, {'acteurRef': 'PA794650', 'presence': 'absent'}, {'acteurRef': 'PA795920', 'presence': 'présent'}, {'acteurRef': 'PA720014', 'presence': 'absent'}, {'acteurRef': 'PA722102', 'presence': 'présent'}]",CRCANR5L16S2023PO59048N039
RUANR5L16S2022IDS26217,,,,PO791932,,CRSANR5L16S2022E1N025
RUANR5L16S2023IDC447515,,,,PO817720,"[{'acteurRef': 'PA793278', 'presence': 'absent'}, {'acteurRef': 'PA722046', 'presence': 'excusé'}, {'acteurRef': 'PA795508', 'presence': 'absent'}, {'acteurRef': 'PA793464', 'presence': 'absent'}, {'acteurRef': 'PA795200', 'presence': 'absent'}, {'acteurRef': 'PA721024', 'presence': 'excusé'}, {'acteurRef': 'PA795958', 'presence': 'présent'}, {'acteurRef': 'PA795652', 'presence': 'présent'}, {'acteurRef': 'PA794130', 'presence': 'absent'}, {'acteurRef': 'PA721004', 'presence': 'présent'}, {'acteurRef': 'PA721984', 'presence': 'absent'}, {'acteurRef': 'PA720446', 'presence': 'absent'}, {'acteurRef': 'PA793904', 'presence': 'présent'}, {'acteurRef': 'PA606098', 'presence': 'excusé'}, {'acteurRef': 'PA794810', 'presence': 'présent'}, {'acteurRef': 'PA720644', 'presence': 'absent'}, {'acteurRef': 'PA721270', 'presence': 'absent'}, {'acteurRef': 'PA793656', 'presence': 'absent'}, {'acteurRef': 'PA794994', 'presence': 'absent'}, {'acteurRef': 'PA793306', 'presence': 'présent'}, {'acteurRef': 'PA609590', 'presence': 'excusé'}, {'acteurRef': 'PA795410', 'presence': 'absent'}, {'acteurRef': 'PA796050', 'presence': 'absent'}, {'acteurRef': 'PA796018', 'presence': 'présent'}, {'acteurRef': 'PA794802', 'presence': 'absent'}, {'acteurRef': 'PA736201', 'presence': 'présent'}, {'acteurRef': 'PA793298', 'presence': 'absent'}, {'acteurRef': 'PA608695', 'presence': 'absent'}, {'acteurRef': 'PA793860', 'presence': 'présent'}]",CRCANR5L16S2023PO817720N011
RUANR5L16S2023IDC446623,,,,PO805422,,
RUANR5L16S2023IDC445491,,,,PO59046,,
RUANR5L16S2023IDC445991,,,,PO805243,,
RUANR5L16S2023IDC448792,,,,PO419610,,
RUANR5L16S2022IDC445643,,,,PO802984,,
RUANR5L16S2023IDC447018,,,,PO807971,,
RUANR5L15A2022IDF0161725,M. Guillaume Garot,PA333285,,,,
