@xmlns,@xmlns:xsi,@xsi:type,uid,codeType,libelle,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,regimeJuridique,siteInternet,nombreReunionsAnnuelles,secretariat,listePays,positionPolitique,preseance,couleurAssociee
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO815781,ORGEXTPARL,Comité de pilotage institué par la loi n° 2019-1480 du 28 décembre 2019 visant à agir contre les violences au sein de la famille,,Comité de pilotage lutte violences conjugales,396,"{'dateDebut': None, 'dateAgrement': None, 'dateFin': None}",,,,,Article 15 de la loi n° 2019-1480 du 28 décembre 2019 visant à agir contre les violences au sein de la famille,,,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO805476,MISINFO,Mission d'information sur la santé mentale des femmes,de la mission d'information sur la santé mentale des femmes,Santé mentale des femmes,SANTEFEMME,"{'dateDebut': '2022-10-27', 'dateAgrement': None, 'dateFin': None}",PO201269,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO419610,COMPER,Commission des affaires économiques,de la commission des affaires économiques,Affaires économiques,CION-ECO,"{'dateDebut': '2009-06-25', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,,,,"{'secretaire01': 'M. Thierry Anjubault', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO822943,MISINFO,Mission d'information relative à l’impact du déploiement des entrepôts,de la mission d'information relative à l’impact du déploiement des entrepôts,impact déploiement entrepôts,DEPENTREPO,"{'dateDebut': '2023-04-12', 'dateAgrement': None, 'dateFin': None}",PO419610,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO753861,ORGEXTPARL,"Conseil national de la culture scientifique, technique et industrielle",,"Conseil national de la culture scientifique, technique et industrielle",OPECST2006,"{'dateDebut': '2017-10-31', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,Article L. 124-1 du code de la recherche,http://www.culture.gouv.fr/Nous-connaitre/Organisation/Services-rattaches-a-la-ministre/Conseil-national-de-la-Culture-scientifique-technique-et-industrielle,,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO824470,MISINFO,mission d'information sur l'intercommunalité,,mission d'information sur l'intercommunalité,MIINTERCOM,"{'dateDebut': '2023-03-08', 'dateAgrement': None, 'dateFin': None}",PO744127,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO804878,MISINFO,Mission d’information chargée de dresser un panorama et un bilan de l’éducation prioritaire,,panorama et un bilan de l’éducation prioritaire,EDUCPRIOR,"{'dateDebut': '2022-09-21', 'dateAgrement': None, 'dateFin': None}",PO419604,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO717298,ORGEXTPARL,Commission nationale du patrimoine et de l'architecture,,CNPA,362,"{'dateDebut': '2016-07-07', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,Article L. 611-1 du code du patrimoine,http://www.culture.gouv.fr/Thematiques/Monuments-historiques-Sites-patrimoniaux-remarquables/Acteurs-et-partenariats/Commissions/Commission-nationale-du-patrimoine-et-de-l-architecture,0,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807091,GA,France-Chypre,de France-Chypre,Chypre,CHY,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Julien Barbot', 'secretaire02': None}",{'paysRef': 'GOP756483'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807991,GA,France-Italie,de France-Italie,Italie,IT,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'Mme Valérie Checketts', 'secretaire02': None}",{'paysRef': 'GOP756417'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO802596,DELEGBUREAU,Délégation chargée des activités internationales,de la délégation chargée des activités internationales,Activités internationales,INT,"{'dateDebut': '2022-07-20', 'dateAgrement': None, 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807051,GA,France-Finlande,de France-Finlande,Finlande,FIN,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Alexis Verguin', 'secretaire02': None}",{'paysRef': 'GOP756397'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807931,GA,France-Etats-Unis,de France-Etats-Unis,Etats-Unis,USA,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Pierre-André Clément', 'secretaire02': None}",{'paysRef': 'GOP756555'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO191887,ORGEXTPARL,Commission nationale pour l'élimination des mines antipersonnel,de la Commission nationale pour l'élimination des mines antipersonnel,Mines antipersonnel,160,"{'dateDebut': '1999-05-11', 'dateAgrement': None, 'dateFin': None}",,,5ème République,,Article L. 2345-1 du code de la défense,https://www.diplomatie.gouv.fr/fr/politique-etrangere-de-la-france/desarmement-et-non-proliferation/la-france-et-l-elimination-des-mines-antipersonnel/article/la-politique-francaise-en-matiere,2,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExtraParlementaire_type,PO303479,ORGEXTPARL,Comité consultatif du secteur financier,du Comité consultatif du secteur financier,Secteur financier,200,"{'dateDebut': None, 'dateAgrement': None, 'dateFin': None}",,,,,Article L. 614-1 du code monétaire et financier,https://www.ccsfin.fr/presentation/organisation,43,,,,,
