scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V19,contre,abstention,contre,contre,False,l'amendement n° 684 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-18,False
VTANR5L16V30,abstention,abstention,contre,contre,False,l'amendement n° 682 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V32,contre,contre,contre,contre,True,l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V31,pour,pour,pour,pour,True,l'amendement n° 617 de M. Dharréville à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V33,contre,contre,abstention,abstention,False,l'article 2 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V29,contre,contre,contre,contre,True,l'amendement n° 332 de Mme Paris à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V34,pour,pour,abstention,pour,False,l'amendement n° 915 de Mme Guetté à l'article 3 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V35,contre,contre,contre,contre,True,l'article 3 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V28,pour,pour,pour,pour,True,l'amendement n° 106 de M. Leseul à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,False
VTANR5L16V40,pour,pour,pour,pour,True,l'amendement n° 943 de M. Ruffin après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V50,,pour,abstention,pour,False,le sous-amendement n° 1145 de M. Quatennens à l'amendement n°3 de M. Pradié et les amendements identiques suivants après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V49,,pour,abstention,pour,False,le sous-amendement n° 1148 de M. Ruffin à l'amendement n°3 de M. Pradié et les amendements identiques suivants après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V48,pour,pour,abstention,abstention,False,le sous-amendement n° 1147 de M. Kerbrat à l'amendement n°3 de M. Pradié et les amendements identiques suivants après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V47,pour,pour,abstention,pour,False,le sous-amendement n° 1146 de M. Ruffin à l'amendement n°3 de M. Pradié et les amendements identiques suivants après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V46,contre,contre,contre,contre,True,l'amendement n° 322 de Mme Le Pen après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V45,abstention,abstention,abstention,abstention,True,l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V44,pour,pour,pour,pour,True,l'amendement n° 94 de M. Leseul et les amendements identiques suivants après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V43,pour,pour,pour,pour,True,l'amendement n° 844 de Mme Guetté après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V42,pour,pour,pour,pour,True,l'amendement n° 938 de M. Ruffin après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V51,pour,pour,pour,pour,True,l'amendement n° 3 de M. Pradié et les amendements identiques suivants après l'article 5 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V41,pour,pour,pour,pour,True,l'amendement n° 756 de M. Ruffin après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V39,pour,pour,pour,pour,True,l'amendement n° 95 de M. Leseul après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
VTANR5L16V38,pour,pour,pour,pour,True,l'amendement n° 116 de M. Leseul et les amendements identiques suivants après l'article 4 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-20,False
