scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V189,contre,contre,contre,contre,True,l'article unique du projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de l'État du Qatar établissant un partenariat relatif à la sécurité de la Coupe du Monde de football de 2022 (première lecture).,scrutin public ordinaire,2022-08-04,False
VTANR5L16V190,pour,pour,pour,pour,True,"la motion de rejet préalable, déposée par M. Boris Vallaud, du projet de loi de finances rectificative pour 2022 (texte de la commission mixte paritaire).",scrutin public ordinaire,2022-08-04,False
VTANR5L16V191,contre,contre,contre,contre,True,l'ensemble du projet de loi de finances rectificative pour 2022 (texte de la commission mixte paritaire).,scrutin public solennel,2022-08-04,False
VTANR5L16V192,pour,pour,pour,pour,True,"la motion de rejet préalable, déposée par Mme Mathilde Panot, sur le projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).",scrutin public ordinaire,2022-10-03,False
VTANR5L16V203,pour,pour,pour,pour,True,l'amendement n° 217 de M. Dharréville à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V204,abstention,abstention,pour,pour,False,l'amendement n° 24 de M. Delaporte à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V205,pour,pour,pour,pour,True,l'amendement n° 65 de M. Califer à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V206,pour,pour,pour,pour,True,l'amendement n° 278 de M. Clouet à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V198,pour,pour,pour,pour,True,l'amendement n° 61 de M. Delaporte et les amendements identiques suivants à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V201,pour,pour,pour,pour,True,l'amendement n° 320 de Mme Erodi à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V208,contre,contre,contre,contre,True,l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V197,pour,pour,pour,pour,True,l'amendement n° 42 de M. Delaporte et l'amendement identique suivant à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V196,pour,pour,pour,pour,True,l'amendement n° 58 de M. Delaporte et l'amendement identique suivant à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V195,pour,pour,pour,pour,True,l'amendement n° 38 de M. Delaporte à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V194,pour,pour,pour,pour,True,l'amendement n° 53 de M. Delaporte à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V193,pour,pour,pour,pour,True,l'amendement de suppression n° 1 de Mme Besse et les amendements identiques suivants à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V202,pour,pour,pour,abstention,False,l'amendement n° 238 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V207,pour,abstention,abstention,abstention,False,l'amendement n° 232 de M. Catteau à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V199,pour,pour,pour,pour,True,l'amendement n° 25 de M. Delaporte à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V200,pour,pour,pour,pour,True,l'amendement n° 292 de Mme Amrani à l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-04,False
VTANR5L16V218,pour,pour,pour,pour,True,l'amendement n° 168 de Mme Garin après l'article 2 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V217,contre,contre,contre,contre,True,l'article 2 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V214,pour,pour,pour,pour,True,l'amendement n° 304 de Mme Amrani après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V219,contre,contre,contre,contre,True,l'amendement n° 267 de M. Valletoux et l'amendement identique suivant après l'article 2 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V213,contre,,contre,contre,False,l'amendement n° 242 de M. Catteau après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V220,contre,contre,contre,contre,True,l'amendement n° 219 de M. Pfeffer et les amendements identiques suivants à l'article 3 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V221,contre,contre,abstention,contre,False,l'amendement n° 374 rectifié du Gouvernement à l'article 4 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V222,contre,abstention,,contre,False,l'amendement n° 207 de M. Villedieu à l'article 4 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V223,contre,abstention,abstention,abstention,False,l'article 4 du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V216,pour,pour,pour,pour,True,l'amendement n° 41 de M. Delaporte après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V215,pour,pour,pour,pour,True,l'amendement n° 70 de M. Delaporte et l'amendement identique suivant après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V211,pour,pour,pour,pour,True,l'amendement n° 40 de M. Delaporte après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V210,contre,contre,contre,contre,True,l'amendement n° 192 rectifié de Mme Le Pen après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V209,contre,contre,contre,contre,True,l'amendement n° 388 de M. Da Silva et les amendements identiques suivants après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V212,contre,contre,contre,contre,True,l'amendement n° 227 de Mme Mélin après l'article premier du projet de loi portant mesures d'urgence relatives au fonctionnement du marché du travail en vue du plein emploi (première lecture).,scrutin public ordinaire,2022-10-05,False
VTANR5L16V225,pour,pour,pour,pour,True,l'ensemble de la proposition de loi visant à lutter contre les plastiques dangereux pour l'environnement et la santé (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V224,abstention,pour,pour,pour,False,l'amendement n° 23 de M. Delautrette et les amendements identiques suivants à l'article premier de la proposition de loi visant à lutter contre les plastiques dangereux pour l'environnement et la santé (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V227,,contre,pour,contre,False,l'article 2 de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V228,pour,pour,pour,pour,True,l'ensemble de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V229,pour,pour,pour,pour,True,l'article premier de la proposition de loi visant à lutter contre la fraude au compte personnel de formation et à interdire le démarchage des titulaires (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V230,pour,pour,pour,pour,True,l'article 2 de la proposition de loi visant à lutter contre la fraude au compte personnel de formation et à interdire le démarchage des titulaires (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V231,pour,pour,pour,pour,True,l'article 3 de la proposition de loi visant à lutter contre la fraude au compte personnel de formation et à interdire le démarchage des titulaires (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V232,pour,pour,pour,pour,True,l'ensemble de la proposition de loi visant à lutter contre la fraude au compte personnel de formation et à interdire le démarchage des titulaires (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V233,pour,pour,pour,,False,l'ensemble de la proposition de loi relative à la charge fiscale de la pension alimentaire (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V226,pour,pour,,pour,False,l'article premier de la proposition de loi visant à limiter l'engrillagement des espaces naturels et à protéger la propriété privée (première lecture).,scrutin public ordinaire,2022-10-06,False
VTANR5L16V235,pour,pour,pour,pour,True,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi de finances pour 2023 (première lecture).",scrutin public ordinaire,2022-10-10,False
VTANR5L16V234,pour,pour,pour,pour,True,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi de programmation des finances publiques pour les années 2023 à 2027 (première lecture).",scrutin public ordinaire,2022-10-10,False
VTANR5L16V240,contre,contre,contre,contre,True,l'article 12 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V251,contre,contre,pour,contre,False,l'article 25 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V250,pour,pour,pour,pour,True,l'amendement n° 10 de M. Philippe Brun et les amendements identiques suivants à l'article 23 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V249,contre,contre,contre,contre,True,l'article 19 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V248,contre,contre,contre,contre,True,l'amendement n° 72 de M. Jean-René Cazeneuve à l'article 19 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V247,contre,contre,contre,contre,True,l'article 18 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V246,contre,contre,contre,contre,True,l'article 17 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V245,pour,pour,pour,pour,True,l'amendement n° 56 de M. Coquerel et l'amendement suivant à l'article 17 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V244,contre,contre,contre,contre,True,l'article 16 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V243,pour,pour,pour,pour,True,l'amendement n° 8 de M. Philippe Brun et les amendements identiques suivants à l'article 16 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V242,contre,contre,contre,contre,True,l'article 13 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V237,pour,pour,pour,pour,True,l'amendement n° 111 de Mme Rabault à l'article 5 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V238,contre,contre,contre,contre,True,l'article 11 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V239,pour,pour,pour,pour,True,l'amendement 70 de M. Philippe Brun à l'article 12 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V236,contre,contre,contre,contre,True,l'ensemble du projet de loi portant mesures d'urgence relatives au fonctionnement du marché de travail en vue du plein emploi (première lecture).,scrutin public solennel,2022-10-11,False
VTANR5L16V241,pour,pour,pour,pour,True,l'amendement n° 71 de M. Philippe Brun à l'article 13 du projet de loi de programmation des finances publiques pour les années 2023-2027 (première lecture).,scrutin public ordinaire,2022-10-11,False
VTANR5L16V268,pour,pour,pour,pour,True,l'amendement n° 3123 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V252,pour,pour,pour,pour,True,l'amendement de suppression n° 3189 de la commission des finances à l'article liminaire du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V265,contre,contre,contre,contre,True,l'amendement n° 2472 de M. Jean-Philippe Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V262,abstention,abstention,pour,abstention,False,l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V261,pour,pour,pour,pour,True,l'amendement n° 1221 de M. Serva à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V260,contre,contre,contre,contre,True,l'amendement n° 3 de Mme Anthoine et les amendements identiques suivants à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V266,contre,abstention,contre,contre,False,l'amendement n° 3367 de M. Jean-Philippe Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V259,contre,contre,contre,contre,True,l'amendement n° 539 de Mme Dalloz et l'amendement identique suivant à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V258,contre,contre,contre,contre,True,l'amendement n° 39 de M. Cordier à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V267,pour,abstention,contre,pour,False,l'amendement n° 2470 de M. Jean-Philippe Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V257,pour,pour,pour,pour,True,l'amendement n° 474 de Mme Pires Beaune à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V256,pour,pour,pour,pour,True,l'amendement n° 1481 de M. Adam à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V255,abstention,abstention,contre,pour,False,l'amendement n° 3121 de la commission des finances et l'amendement identique suivant à l'article 2 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V254,contre,contre,contre,contre,True,l'article liminaire du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V269,pour,pour,pour,pour,True,l'amendement n° 3486 de M. Mattei après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V253,contre,contre,contre,contre,True,l'amendement n° 766 de Mme Louwagie à l'article liminaire du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V264,contre,contre,contre,contre,True,l'amendement n° 1777 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V263,contre,contre,contre,contre,True,l'amendement n° 393 de M. Bryan Masson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V270,pour,pour,pour,pour,True,l'amendement n° 3126 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V271,pour,pour,pour,pour,True,l'amendement n° 2238 de M. Acquaviva après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-12,False
VTANR5L16V281,abstention,abstention,abstention,abstention,True,l'amendement n° 1451 de M. Naegelen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V280,abstention,abstention,pour,abstention,False,l'amendement n° 3023 de M. Midy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V284,pour,abstention,abstention,pour,False,l'amendement n° 1122 de M. Le Fur après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V285,abstention,abstention,abstention,abstention,True,l'amendement n° 3402 (rect.) de M. Buisson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V279,pour,pour,pour,pour,True,l'amendement n° 2692 de Mme Lebon et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V278,pour,pour,pour,pour,True,l'amendement n° 646 de M. Naillet et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V277,pour,pour,pour,pour,True,l'amendement n° 3128 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V276,abstention,pour,contre,abstention,False,l'amendement n° 31 de M. Cordier et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V275,,abstention,abstention,contre,False,l'amendement n° 2460 de Mme Le Pen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V274,pour,pour,pour,pour,True,l'amendement n° 3127 de la commission des finances et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V288,abstention,,abstention,contre,False,l'amendement n° 3383 de M. Buisson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V273,pour,pour,pour,pour,True,l'amendement n° 1735 de M. Guiraud après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V272,pour,abstention,contre,pour,False,l'amendement n° 761 de M. Di Filippo après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V286,pour,pour,pour,pour,True,l'amendement n° 2018 de Mme Arrighi et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V287,pour,pour,pour,pour,True,l'amendement n° 2258 de M. Mathiasin après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V282,abstention,abstention,abstention,abstention,True,l'amendement n° 1452 de M. Naegelen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V289,contre,contre,contre,contre,True,l'amendement n° 402 de Mme Louwagie après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V283,pour,pour,pour,pour,True,l'amendement n° 3129 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V294,contre,contre,contre,contre,True,l'amendement n° 2733 de M. Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V292,contre,contre,contre,contre,True,l'amendement n° 3132 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V291,contre,contre,contre,contre,True,l'amendement n° 556 de M. Lottiaux après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V293,contre,contre,contre,contre,True,l'amendement n° 2736 de M. Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V290,pour,pour,pour,pour,True,l'amendement n° 3131 de la commission des finances et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-13,False
VTANR5L16V318,contre,contre,contre,contre,True,l'amendement n° 3251 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V320,contre,contre,contre,contre,True,l'amendement n° 2466 de Mme Le Pen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V317,contre,contre,contre,contre,True,l'amendement n° 2829 de M. Bryan Masson après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V300,abstention,contre,pour,contre,False,l'amendement n° 424 de M. Boucard après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V316,contre,contre,contre,contre,True,l'amendement n° 480 de Mme Blanc et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V315,contre,contre,contre,contre,True,l'amendement n° 2282 de M. Vincendet et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V310,,abstention,,contre,False,l'amendement n° 2851 de M. Jean-Philippe Tanguy après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V321,contre,contre,contre,contre,True,l'amendement n° 3249 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V302,pour,pour,pour,pour,True,l'amendement n° 3133 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V301,abstention,abstention,abstention,abstention,True,l'amendement n° 987 de M. Morel-À-L'Huissier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V319,contre,contre,contre,contre,True,l'amendement n° 3248 de Mme Parmentier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V314,contre,abstention,contre,contre,False,l'amendement n° 62 de Mme Bonnivard et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V303,pour,pour,pour,abstention,False,l'amendement n° 631 de M. Naegelen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V298,contre,contre,,contre,False,l'amendement n° 551 de M. Lottiaux après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V299,contre,contre,,contre,False,l'amendement n° 202 de M. Bilde après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V311,pour,pour,pour,pour,True,l'amendement n° 1741 de M. Guiraud après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V309,contre,contre,contre,contre,True,l'amendement n° 994 de M. Gosselin et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V308,contre,contre,contre,contre,True,l'amendement n° 78 de M. Descoeur et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V304,pour,abstention,pour,pour,False,l'amendement n° 3578 de M. Lefèvre après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V312,pour,pour,pour,pour,True,l'amendement n° 2753 de Mme Panonacle après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V305,pour,abstention,contre,pour,False,l'amendement n° 668 de M. Fabrice Brun et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V295,pour,pour,pour,pour,True,l'amendement n° 3224 de Mme Colboc après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V313,pour,pour,pour,pour,True,l'amendement n° 784 de M. Sansu et l'amendement identique suivant après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V306,pour,pour,pour,pour,True,l'amendement n° 3134 de la commission des finances et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V296,contre,abstention,,,False,l'amendement n° 37 de M. Cordier après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V297,contre,abstention,,,False,l'amendement n° 491 de Mme Blanc après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V307,contre,contre,contre,contre,True,l'amendement n° 585 de M. Meizonnet après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-14,False
VTANR5L16V337,pour,pour,pour,pour,True,l'amendement n° 2648 de M. Raux à l'article 4 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,False
VTANR5L16V336,pour,pour,pour,pour,True,l'amendement n° 3210 de M. Vallaud après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,False
VTANR5L16V335,pour,pour,pour,pour,True,l'amendement n° 3209 de M. Vallaud après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,False
VTANR5L16V334,contre,abstention,contre,contre,False,l'amendement n° 1450 de M. Naegelen après l'article 3 du projet de loi de finances pour 2023 (première lecture).,scrutin public ordinaire,2022-10-17,False
