acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA718784,PM796266,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Pauget,Éric,M.,LR
PA719318,PM796470,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Anthoine,Emmanuelle,Mme,LR
PA642847,PM796872,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Bazin,Thibault,M.,LR
PA720630,PM797094,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Minot,Maxime,M.,LR
PA793476,PM796344,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Dubois,Francis,M.,LR
PA722308,PM797229,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Serre,Nathalie,Mme,LR
PA774954,PM796797,False,pour,PO800508,2022-07-19,VTANR5L16V29,pour,Blin,Anne-Laure,Mme,LR
PA643157,PM797763,False,pour,PO800496,2022-07-19,VTANR5L16V29,contre,Naillet,Philippe,M.,SOC
PA719608,PM796593,False,pour,PO793087,2022-07-19,VTANR5L16V29,abstention,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-03-22,VTANR5L16V1265,pour,Breton,Xavier,M.,LR
PA330240,PM796155,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Ciotti,Éric,M.,LR
PA606098,PM796449,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Marleix,Olivier,M.,LR
PA332523,PM796683,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Dalloz,Marie-Christine,Mme,LR
PA718884,PM796218,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Bazin-Malgras,Valérie,Mme,LR
PA342240,PM796707,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Bourgeaux,Jean-Luc,M.,LR
PA721486,PM797517,False,pour,PO800532,2023-03-07,VTANR5L16V1135,pour,Naegelen,Christophe,M.,LIOT
PA795244,PM797379,False,pour,PO800532,2023-03-07,VTANR5L16V1135,pour,Lenormand,Stéphane,M.,LIOT
PA793476,PM796344,False,pour,PO800508,2023-04-13,VTANR5L16V1429,pour,Dubois,Francis,M.,LR
PA793508,PM796371,False,pour,PO800508,2023-04-13,VTANR5L16V1429,pour,Brigand,Hubert,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-04-13,VTANR5L16V1429,pour,Ménard,Emmanuelle,Mme,NI
PA719608,PM796593,False,pour,PO793087,2023-03-23,VTANR5L16V1279,pour,Ménard,Emmanuelle,Mme,NI
PA720586,PM797088,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Vatin,Pierre,M.,LR
PA267429,PM796722,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Cinieri,Dino,M.,LR
PA718850,PM796203,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Cordier,Pierre,M.,LR
PA266797,PM796812,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Gosselin,Philippe,M.,LR
PA607090,PM796761,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Vigier,Jean-Pierre,M.,LR
PA719272,PM796347,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Meunier,Frédérique,Mme,LR
PA720630,PM797094,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Minot,Maxime,M.,LR
PA722390,PM797214,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Corneloup,Josiane,Mme,LR
PA722308,PM797229,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Serre,Nathalie,Mme,LR
PA783457,PM796992,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Habert-Dassault,Victor,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-07-26,VTANR5L16V175,pour,Ménard,Emmanuelle,Mme,NI
PA267429,PM796722,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Cinieri,Dino,M.,LR
PA332523,PM796683,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Dalloz,Marie-Christine,Mme,LR
PA607090,PM796761,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Vigier,Jean-Pierre,M.,LR
PA718884,PM796218,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Bazin-Malgras,Valérie,Mme,LR
PA719318,PM796470,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Anthoine,Emmanuelle,Mme,LR
PA643134,PM796758,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Valentin,Isabelle,Mme,LR
PA722390,PM797214,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Corneloup,Josiane,Mme,LR
PA793094,PM796140,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Ray,Nicolas,M.,LR
PA793508,PM796371,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Brigand,Hubert,M.,LR
PA794038,PM796668,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Neuder,Yannick,M.,LR
PA721486,PM797517,False,pour,PO800532,2023-05-16,VTANR5L16V1541,pour,Naegelen,Christophe,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2023-05-16,VTANR5L16V1541,pour,Ménard,Emmanuelle,Mme,NI
PA267324,PM797538,False,pour,PO800508,2022-12-07,VTANR5L16V684,pour,Gaultier,Jean-Jacques,M.,LR
PA346054,PM797679,False,pour,PO800508,2022-12-07,VTANR5L16V684,pour,Maquet,Emmanuel,M.,LR
PA605069,PM796179,False,pour,PO800532,2022-12-07,VTANR5L16V684,pour,Bricout,Jean-Louis,M.,LIOT
PA720976,PM797667,False,pour,PO800532,2022-12-07,VTANR5L16V684,pour,Mathiasin,Max,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-12-07,VTANR5L16V684,pour,Ménard,Emmanuelle,Mme,NI
PA795636,PM797601,False,pour,PO800526,2022-10-28,VTANR5L16V440,contre,Lucas,Benjamin,M.,ECOLO
PA794410,PM796911,False,pour,PO800508,2022-11-29,VTANR5L16V643,abstention,Seitlinger,Vincent,M.,LR
PA309643,PM797403,False,pour,PO793087,2022-11-29,VTANR5L16V643,pour,Besse,Véronique,Mme,NI
PA719608,PM796593,False,pour,PO793087,2022-11-29,VTANR5L16V643,pour,Ménard,Emmanuelle,Mme,NI
PA719550,PM796551,True,pour,PO800538,2022-10-14,VTANR5L16V298,contre,Tanguy,Liliana,Mme,RE
PA720932,PM797586,False,pour,PO800538,2022-10-14,VTANR5L16V298,contre,Da Silva,Dominique,M.,RE
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V298,pour,Ménard,Emmanuelle,Mme,NI
PA643175,PM796794,False,pour,PO800538,2022-10-13,VTANR5L16V285,contre,Dupont,Stella,Mme,RE
PA1327,PM796632,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Forissier,Nicolas,M.,LR
