acteurRef,axe 1,axe 2,organe,nom,prenom,civ,libelleAbrev,couleurAssociee
PA791824,-19.07191888699304,-8.836642372256915,PO800490,Legrain,Sarah,Mme,LFI-NUPES,#E42313
PA793094,-2.702629277903147,3.875984664448382,PO800508,Ray,Nicolas,M.,LR,#4565AD
PA793102,-9.748134667500516,9.867235938950511,PO800520,Girard,Christian,M.,RN,#35495E
PA793110,-21.719134946861715,-10.580219234551157,PO800490,Walter,Léo,M.,LFI-NUPES,#E42313
PA793122,13.464011118006955,0.46866237200189687,PO800484,Daubié,Romain,M.,DEM,#CE5215
PA793134,-8.486761782292994,11.240175869322531,PO800520,Buisson,Jérôme,M.,RN,#35495E
PA793146,-12.66914017546766,21.28986164236923,PO800520,Dragon,Nicolas,M.,RN,#35495E
PA793158,-9.538002351625481,8.178558131991165,PO800520,Beaurain,José,M.,RN,#35495E
PA793166,-12.050306914728296,20.358924367519855,PO800520,Dessigny,Jocelyn,M.,RN,#35495E
PA793174,-12.737776687833247,-2.389663154989713,PO800502,Monnet,Yannick,M.,GDR-NUPES,#991414
PA793182,-11.26896614387456,11.87886330475673,PO800520,Bovet,Jorys,M.,RN,#35495E
PA793190,17.135885253784895,-2.590007235248007,PO800538,Heydel Grillere,Laurence,Mme,RE,#61468F
PA793194,14.191505376145503,0.30559404356944586,PO800538,Vuibert,Lionel,M.,RE,#61468F
PA793210,-5.113589676271528,-1.9033633870747129,PO800532,Panifous,Laurent,M.,LIOT,#F8D434
PA793218,-10.190519849442238,14.775516304294955,PO800520,Guitton,Jordan,M.,RN,#35495E
PA793230,-11.311544860207805,16.309402273289848,PO800520,Ranc,Angélique,Mme,RN,#35495E
PA793238,-11.561823689572558,17.1041609078461,PO800520,Barthès,Christophe,M.,RN,#35495E
PA793246,-8.632149531463305,8.867906742778564,PO800520,Falcon,Frédéric,M.,RN,#35495E
PA793254,-12.426770772225705,18.346392983799074,PO800520,Rancoule,Julien,M.,RN,#35495E
PA793262,-17.137089067613285,-7.711489561611154,PO800490,Alexandre,Laurent,M.,LFI-NUPES,#E42313
PA793270,18.593239229807157,-2.4239434961680972,PO800538,Rousset,Jean-François,M.,RE,#61468F
PA793278,11.592157213301594,0.33946922343286895,PO800538,Agresti-Roubache,Sabrina,Mme,RE,#61468F
PA793290,-9.086122009563175,13.815300226952376,PO800520,Lelouis,Gisèle,Mme,RN,#35495E
PA793298,-10.26869489741332,13.116852539217177,PO800520,Tivoli,Lionel,M.,RN,#35495E
PA793306,16.17823457774535,-3.405848444179638,PO800514,Pradal,Philippe,M.,HOR,#32B3CA
PA793314,-8.809642382272514,9.058923818243779,PO800520,Masson,Alexandra,Mme,RN,#35495E
PA793322,-3.478199121668538,0.18478671110829004,PO800508,D'Intorni,Christelle,Mme,LR,#4565AD
PA793330,-10.69118501108857,10.92033217162523,PO800520,Masson,Bryan,M.,RN,#35495E
PA793342,0.9729805308680952,2.8761246650197,PO800508,Martin,Alexandra,Mme,LR,#4565AD
PA793354,-9.362639870255459,7.106831319014576,PO800520,Mélin,Joëlle,Mme,RN,#35495E
PA793362,-9.010926924441089,10.942745569955186,PO800520,Gonzalez,José,M.,RN,#35495E
PA793374,-9.933708135436671,12.619288604347087,PO800520,Baubry,Romain,M.,RN,#35495E
PA793382,-9.472519811051114,9.912899797052075,PO800520,Taché de la Pagerie,Emmanuel,M.,RN,#35495E
PA793394,-16.026192259589735,-7.743342032989151,PO800496,Delaporte,Arthur,M.,SOC,#DF84B5
PA793398,7.5296205078732825,1.0541560440042137,PO800514,Patrier-Leitus,Jérémie,M.,HOR,#32B3CA
PA793416,18.829050321033446,-4.066211683543294,PO800538,Sertin,Freddy,M.,RE,#61468F
PA793432,-10.730524085356759,13.732389951141563,PO800520,Allisio,Franck,M.,RN,#35495E
PA793444,-21.426529694426648,-9.771921040218553,PO800490,Bompard,Manuel,M.,LFI-NUPES,#E42313
PA793452,-20.770979888495358,-9.95870993068849,PO800490,Davi,Hendrik,M.,LFI-NUPES,#E42313
PA793464,-16.10712839219299,-7.138906978531529,PO800490,Delogu,Sébastien,M.,LFI-NUPES,#E42313
PA793476,2.220717056579822,6.431299367033162,PO800508,Dubois,Francis,M.,LR,#4565AD
PA793500,17.247432128535067,-2.053263796611406,PO800538,Bordat,Benoît,M.,RE,#61468F
PA793508,1.2756724326948143,5.578943037142456,PO800508,Brigand,Hubert,M.,LR,#4565AD
PA793520,15.464001945897063,-2.5562825216184493,PO800484,Cosson,Mickaël,M.,DEM,#CE5215
PA793528,13.832744114113693,-3.5279338367051714,PO800538,Bouloux,Chantal,Mme,RE,#61468F
PA793532,-23.541200046097284,-13.699240058948577,PO800490,Lepvraud,Murielle,Mme,LFI-NUPES,#E42313
PA793548,-12.087226031710264,16.380074969080095,PO800520,Colombier,Caroline,Mme,RN,#35495E
PA793560,12.542915950023168,-1.1806544696106156,PO800484,Babault,Anne-Laure,Mme,DEM,#CE5215
PA793572,15.47294795247018,-0.9248161402111331,PO800514,Plassard,Christophe,M.,HOR,#32B3CA
PA793588,15.091376949465856,-2.064357503079864,PO800538,Pacquot,Nicolas,M.,RE,#61468F
PA793592,-8.074427462987082,10.865623538937772,PO800520,Grangier,Géraldine,Mme,RN,#35495E
PA793608,-9.198929098274714,8.856072464710136,PO800520,Levavasseur,Katiana,Mme,RN,#35495E
PA793616,-13.457048479616649,20.230099937844564,PO800520,Mauvieux,Kévin,M.,RN,#35495E
PA793624,-14.118981828516429,-5.017537657372917,PO800496,Brun,Philippe,M.,SOC,#DF84B5
PA793632,-12.466235868063936,16.469962263746503,PO800520,Houssin,Timothée,M.,RN,#35495E
PA793656,-13.18055630493733,18.164156665258854,PO800520,Pollet,Lisette,Mme,RN,#35495E
PA793664,-14.097825314178227,-8.28664566913106,PO800526,Pochon,Marie,Mme,ECOLO,#77AA79
PA793672,-12.895236631313871,20.721469878732275,PO800520,Loir,Christine,Mme,RN,#35495E
PA793680,-21.737540016229154,-10.095429966166853,PO800490,Couturier,Catherine,Mme,LFI-NUPES,#E42313
PA793688,-19.738485394681785,-10.853526861138578,PO800490,Martin,Pascale,Mme,LFI-NUPES,#E42313
PA793696,-11.328021815627908,14.081622620643486,PO800520,Muller,Serge,M.,RN,#35495E
PA793708,-17.27967064428556,-10.37677502563323,PO800526,Peytavie,Sébastien,M.,ECOLO,#77AA79
PA793716,16.108006717926447,-1.9833828082098137,PO800484,Croizier,Laurent,M.,DEM,#CE5215
PA793724,-14.391173722992864,-6.580076586228943,PO800490,Sala,Michel,M.,LFI-NUPES,#E42313
PA793736,-18.17096049436536,-7.3618554254071675,PO800490,Clouet,Hadrien,M.,LFI-NUPES,#E42313
PA793744,-23.353600141117855,-12.624428366748297,PO800490,Stambach-Terrenoir,Anne,Mme,LFI-NUPES,#E42313
PA793756,-17.88787258843452,-9.184151843387761,PO800490,Piquemal,François,M.,LFI-NUPES,#E42313
PA793772,-20.723609878668064,-10.486800962809072,PO800490,Bex,Christophe,M.,LFI-NUPES,#E42313
PA793780,-16.54551977791201,-8.597968519934685,PO800526,Arrighi,Christine,Mme,ECOLO,#77AA79
PA793792,13.907337495080881,-2.912268908825186,PO800484,Esquenet-Goxes,Laurent,M.,DEM,#CE5215
PA793796,-10.6253420458561,-3.6156275149765698,PO800532,Taupiac,David,M.,LIOT,#F8D434
PA793816,-13.99268060013322,-7.8697083841558575,PO800496,Thomin,Mélanie,Mme,SOC,#DF84B5
PA793832,-13.170735220517578,18.240442832751924,PO800520,Gillet,Yoann,M.,RN,#35495E
PA793844,-7.464779716099012,8.343976334954155,PO800520,Bordes,Pascale,Mme,RN,#35495E
PA793852,-9.564664606742245,11.308046084295619,PO800520,Meurin,Pierre,M.,RN,#35495E
PA793860,11.854221642136007,-1.6944837873876275,PO800484,Zgainski,Frédéric,M.,DEM,#CE5215
PA793872,-19.39617000628327,-9.82042486435253,PO800490,Oziol,Nathalie,Mme,LFI-NUPES,#E42313
PA793876,14.75771268794832,-1.1679704451565578,PO800538,Cristol,Laurence,Mme,RE,#61468F
PA793884,-13.732824709017311,-5.6003519577983925,PO800490,Rome,Sébastien,M.,LFI-NUPES,#E42313
PA793892,-10.192264709073186,13.910343839002344,PO800520,Galzy,Stéphanie,Mme,RN,#35495E
PA793904,-12.308203541129119,15.342745602127525,PO800520,Lopez-Liguori,Aurélien,M.,RN,#35495E
PA793912,-22.922467355920933,-13.677951819430827,PO800490,Carrière,Sylvain,M.,LFI-NUPES,#E42313
PA793928,-12.181137649753381,20.092317154241478,PO800520,Diaz,Edwige,Mme,RN,#35495E
PA793940,14.992003311516624,-0.627241669354643,PO800538,Cazenave,Thomas,M.,RE,#61468F
PA793948,-14.495135924688944,-10.151196167035497,PO800526,Thierry,Nicolas,M.,ECOLO,#77AA79
PA793964,-11.441813820666939,13.9913414569196,PO800520,de Fournas,Grégoire,M.,RN,#35495E
PA793980,-16.465696835659084,-10.099386640068412,PO800526,Fournier,Charles,M.,ECOLO,#77AA79
PA793992,8.141951640787633,-2.4466433683445814,PO800514,Alfandari,Henri,M.,HOR,#32B3CA
PA794004,12.98187054272294,-0.8489346988987363,PO800538,Hugues,Servane,Mme,RE,#61468F
PA794008,-18.174540546948705,-10.801825591584425,PO800526,Chatelain,Cyrielle,Mme,ECOLO,#77AA79
PA794022,-13.515228359889415,-9.35382161735225,PO800526,Iordanoff,Jérémie,M.,ECOLO,#77AA79
PA794030,-7.599121515556201,6.6402456381879595,PO800520,Jolly,Alexis,M.,RN,#35495E
