acteurRef,scrutin,nom,libelleAbrev
PA794234,1,Gernigon,HOR
PA794810,1,Morel,DEM
PA795192,1,Chailloux,GDR-NUPES
PA795100,1,Martineau,DEM
PA718926,1,Dharréville,GDR-NUPES
PA822617,1,Froger,LIOT
PA642764,1,Aviragnet,SOC
PA642868,1,Christophe,HOR
PA795920,1,Thevenot,RE
PA795908,1,Chenevard,RE
PA795868,1,Castor,GDR-NUPES
PA795828,1,Hajjar,SOC
PA607553,1,Potier,SOC
PA795746,1,Léaument,LFI-NUPES
PA795652,1,Izard,RE
PA695100,1,Habib,LR
PA795616,1,Bilongo,LFI-NUPES
PA712014,1,Ledoux,RE
PA795596,1,Vannier,LFI-NUPES
PA717379,1,Maillard,RE
PA795454,1,Ben Cheikh,ECOLO
PA795430,1,Delautrette,SOC
PA795406,1,Périgault,LR
PA795374,1,Lecamp,DEM
PA795350,1,Valletoux,HOR
PA795278,1,Bellamy,HOR
PA605963,1,Alauzet,RE
PA795216,1,Lovisolo,RE
PA794206,1,Marion,RE
PA718910,1,Pitollat,RE
PA794214,1,Bataillon,RE
PA794066,1,Mathieu,LFI-NUPES
PA794194,1,Desjonquères,DEM
PA791824,1,Legrain,LFI-NUPES
PA340343,1,Saulignac,SOC
PA720720,1,Poueyto,DEM
PA736201,1,Taillé-Polian,ECOLO
PA722358,1,Gassilloud,RE
PA720838,1,Bourouaha,GDR-NUPES
PA720862,1,Descrozaille,RE
PA722284,1,Fuchs,DEM
PA722202,1,Jumel,GDR-NUPES
PA722162,1,Turquois,DEM
PA720952,1,Taché,ECOLO
PA722142,1,Ruffin,LFI-NUPES
PA722134,1,Fiévet,RE
PA722070,1,Henriet,RE
PA335999,1,Batho,ECOLO
PA721976,1,Millienne,DEM
PA721916,1,Pouzyreff,RE
PA721880,1,Guévenoux,RE
PA721844,1,Piron,RE
PA721828,1,Berete,RE
PA721024,1,Genetet,RE
PA721760,1,Gatel,DEM
PA721632,1,Lemoine,RE
PA335054,1,Karamanli,SOC
PA721150,1,Holroyd,RE
PA721182,1,Petit,DEM
PA721210,1,Corbière,LFI-NUPES
PA721234,1,Petit,DEM
PA791812,1,Chikirou,LFI-NUPES
PA340643,1,Royer-Perreaut,RE
PA719550,1,Tanguy,RE
PA793174,1,Monnet,GDR-NUPES
PA794138,1,Amiot,LFI-NUPES
PA794114,1,Mandon,DEM
PA794094,1,Bouloux,SOC
PA721270,1,Peu,GDR-NUPES
PA345722,1,Le Grip,RE
PA719632,1,Panonacle,RE
PA793948,1,Thierry,ECOLO
PA793860,1,Zgainski,DEM
PA793816,1,Thomin,SOC
PA719672,1,Sorez,RE
PA793792,1,Esquenet-Goxes,DEM
PA793724,1,Sala,LFI-NUPES
PA719822,1,Thillaye,DEM
PA719882,1,Meynier-Millefert,RE
PA793664,1,Pochon,ECOLO
PA719910,1,Belhamiti,RE
PA720006,1,Geismar,DEM
PA267306,1,Chassaigne,GDR-NUPES
PA793500,1,Bordat,RE
PA720100,1,Pradié,LR
PA793452,1,Davi,LFI-NUPES
PA793444,1,Bompard,LFI-NUPES
PA793394,1,Delaporte,SOC
PA720256,1,Bannier,DEM
PA720354,1,Jacques,RE
PA720422,1,Quatennens,NI
PA793190,1,Heydel Grillere,RE
PA609520,1,Pompili,RE
